game_id,id,value
50,70711,Digital Implementations: Triqqy
50,149,Game: Lost Cities
50,61979,Players: Two-Player Only Games
50,78,Series: Two-player games (Kosmos)
50,21940,Theme: Archaeology / Paleontology
51,78566,Components: 16 x 16 Grids
51,75031,Components: Sand Timers
51,5666,Players: Games with Solitaire Rules
51,22232,Theme: Robots
52,4327,Setting: Warhammer Fantasy Wargames
53,26397,Food & Drink: Beer
54,12803,Country: Guatemala
54,22135,Crowdfunding: Spieleschmiede
54,11505,Promotional: Promo Board Games
54,40,Series: The Mask Trilogy (Kramer / Kiesling)
54,21940,Theme: Archaeology / Paleontology
54,62428,Theme: Mayans
54,43639,Theme: Native Americans / First Peoples
54,69032,Theme: Temple
54,18319,Theme: Tropical
55,22783,Admin: Better Description Needed!
57,80969,Food & Drink: Chocolate
58,22783,Admin: Better Description Needed!
58,45672,Animals: Birds
58,6480,Animals: Camels
58,7559,Animals: Dinosaurs
58,6979,Animals: Elephants
58,62079,Animals: Insects
58,7488,Animals: Penguins
58,58093,Animals: Raccoons
58,7509,Animals: Snakes
58,7519,Animals: Spiders
58,7668,Animals: Squirrels
58,7972,Animals: Tigers
58,7381,Animals: Wolves
58,7005,Creatures: Dragons
58,22861,Creatures: Goblins
58,5615,Creatures: Monsters
58,6428,Creatures: Vampires
58,13265,Theme: Deserts
58,14044,Theme: Hot Air Balloons
59,22783,Admin: Better Description Needed!
59,11519,Theme: Oil / Gas / Petroleum
59,46197,Theme: Trucks
60,70354,Digital Implementations: Yucata
61,78574,Components: 9 x 9 Grids
62,5607,Components: 3-Dimensional (3D)
62,6471,Country: Egypt
62,71190,Creatures: Mummies
63,64960,Components: Map (Continental / National scale)
63,10634,Country: Japan
63,58957,History: Kamakura Period to Muromachi Period
63,58059,History: Sengoku Period
64,26568,Cities: Orléans (France)
64,64960,Components: Map (Continental / National scale)
64,44339,Historical Figures: Joan of Arc
64,58013,History: Hundred Years Wars
65,48865,Theme: Gardening
66,22783,Admin: Better Description Needed!
66,78580,Components: 10 x 15 Grids
67,26432,Category: Combinatorial
67,81575,Digital Implementations: VASSAL
67,66186,Game: Conquest (Donald Benge)
68,64960,Components: Map (Continental / National scale)
68,10640,Country: Greece
68,58139,History: Wars of the Diadochi and Syrian Wars
69,4220,Category: n in a row
69,5902,Components: Marbles
69,6485,Misc: Mensa Select
69,61979,Players: Two-Player Only Games
70,22783,Admin: Better Description Needed!
70,24571,Components: Polyominoes
70,68322,Theme: City
71,27524,Ancient: Babylon
71,72535,Ancient: Egypt
71,52373,Ancient: Greece
71,64960,Components: Map (Continental / National scale)
71,6471,Country: Egypt
71,11515,Country: Italy
71,22642,Game: Civilization
71,27503,Islands: Crete (Greece)
71,65387,Region: Aegean Sea
71,58955,Region: Mediterranean Sea
73,24255,Series: Yellow Wave Box (Queen)
74,81575,Digital Implementations: VASSAL
74,33,Game: Apples to Apples
74,46175,Mechanism: Judging Games
74,6485,Misc: Mensa Select
