game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
24,thematic,825,6,2,Moderate in-game text - needs crib sheet or paste ups,6.6211,5.75541,708,3.4444,894,2024-01-25 10:08:12
25,boardgame,11685,4,1,Extensive use of text - massive conversion needed to be playable,5.91638,5.54991,327,3.2,688,2024-01-25 10:08:12
25,wargames,2919,4,1,Extensive use of text - massive conversion needed to be playable,5.91638,5.54991,327,3.2,688,2024-01-25 10:08:12
25,thematic,1287,4,1,Extensive use of text - massive conversion needed to be playable,5.91638,5.54991,327,3.2,688,2024-01-25 10:08:12
26,boardgame,1714,5,2,Extensive use of text - massive conversion needed to be playable,7.09484,6.28531,2210,3.8545,2957,2024-01-25 10:08:12
26,strategygames,908,5,2,Extensive use of text - massive conversion needed to be playable,7.09484,6.28531,2210,3.8545,2957,2024-01-25 10:08:12
27,boardgame,16816,4,1,Some necessary text - easily memorized or small crib sheet,5.67606,5.51969,1375,3.124,2427,2024-01-25 10:08:12
27,wargames,4087,4,1,Some necessary text - easily memorized or small crib sheet,5.67606,5.51969,1375,3.124,2427,2024-01-25 10:08:12
28,boardgame,2305,4,2,Extensive use of text - massive conversion needed to be playable,6.473,6.12029,5167,2.656,9417,2024-01-25 10:08:12
28,thematic,600,4,2,Extensive use of text - massive conversion needed to be playable,6.473,6.12029,5167,2.656,9417,2024-01-25 10:08:12
28,strategygames,1301,4,2,Extensive use of text - massive conversion needed to be playable,6.473,6.12029,5167,2.656,9417,2024-01-25 10:08:12
29,boardgame,12854,4,1,No necessary in-game text,6.65214,5.54049,70,3.25,222,2024-01-25 10:08:12
30,boardgame,3149,4,4+,No necessary in-game text,6.86752,5.94969,1393,1.802,1886,2024-01-25 10:08:12
30,thematic,667,4,4+,No necessary in-game text,6.86752,5.94969,1393,1.802,1886,2024-01-25 10:08:12
31,boardgame,25308,5,5+,Moderate in-game text - needs crib sheet or paste ups,5.39325,5.43909,839,1.9107,2220,2024-01-25 10:08:12
31,thematic,1567,5,5+,Moderate in-game text - needs crib sheet or paste ups,5.39325,5.43909,839,1.9107,2220,2024-01-25 10:08:12
32,boardgame,9134,2,1,No necessary in-game text,6.07625,5.58386,367,1.6154,764,2024-01-25 10:08:12
