boardgamepublisher_id,game_id,boardgameartist_id,language,language_id,boardgame_version_id,boardgameartist,boardgamepublisher
4089,7,,,,166541,,Falomir Juegos
,7,,Spanish,2203,166541,,
672,7,,,,186573,,"Family Games, Inc."
,7,,English,2184,186573,,
672,7,,,,26085,,"Family Games, Inc."
,7,,English,2184,26085,,
,7,,French,2187,26085,,
,7,,Spanish,2203,26085,,
672,7,,,,87446,,"Family Games, Inc."
,7,,English,2184,87446,,
672,7,,,,30040,,"Family Games, Inc."
,7,,English,2184,30040,,
,7,,French,2187,30040,,
,7,,German,2188,30040,,
,7,,Spanish,2203,30040,,
672,7,,,,21279,,"Family Games, Inc."
,7,,English,2184,21279,,
,7,,French,2187,21279,,
,7,,German,2188,21279,,
,7,,Spanish,2203,21279,,
672,7,,,,207946,,"Family Games, Inc."
,7,36624,,,207946,S. Mattusek,
,7,,English,2184,207946,,
,7,,French,2187,207946,,
,7,,Spanish,2203,207946,,
672,7,,,,607135,,"Family Games, Inc."
,7,,English,2184,607135,,
,7,,French,2187,607135,,
,7,,German,2188,607135,,
,7,,Italian,2193,607135,,
,7,,Spanish,2203,607135,,
672,7,,,,50033,,"Family Games, Inc."
,7,,English,2184,50033,,
,7,,French,2187,50033,,
,7,,German,2188,50033,,
,7,,Spanish,2203,50033,,
672,7,,,,273097,,"Family Games, Inc."
,7,3,,,273097,(Uncredited),
,7,,English,2184,273097,,
,7,,French,2187,273097,,
,7,,German,2188,273097,,
,7,,Spanish,2203,273097,,
672,7,,,,624421,,"Family Games, Inc."
,7,3,,,624421,(Uncredited),
,7,,English,2184,624421,,
,7,,French,2187,624421,,
,7,,German,2188,624421,,
,7,,Spanish,2203,624421,,
786,7,,,,240502,,Gazebo Games UK Ltd.
,7,,English,2184,240502,,
155,7,,,,248212,,Gigamic
,7,,Dutch,2183,248212,,
,7,,English,2184,248212,,
,7,,French,2187,248212,,
,7,,German,2188,248212,,
,7,,Italian,2193,248212,,
,7,,Portuguese,2200,248212,,
,7,,Spanish,2203,248212,,
148,7,,,,86804,,Holzinsel
,7,,German,2188,86804,,
148,7,,,,275561,,Holzinsel
,7,,German,2188,275561,,
327,7,,,,399901,,Lagoon Games
,7,,English,2184,399901,,
327,7,,,,90346,,Lagoon Games
,7,,English,2184,90346,,
93,7,,,,29653,,"Mattel, Inc."
,7,,English,2184,29653,,
93,7,,,,25841,,"Mattel, Inc."
,7,36624,,,25841,S. Mattusek,
,7,,German,2188,25841,,
93,7,,,,177948,,"Mattel, Inc."
,7,,Spanish,2203,177948,,
17832,7,,,,115354,,Robert P. Moore Games
,7,,English,2184,115354,,
17832,7,,,,290317,,Robert P. Moore Games
,7,,English,2184,290317,,
6421,7,,,,333764,,Brightway Products Ltd
,7,,English,2184,333764,,
35425,7,,,,343672,,Yangxin Industrial Company Limited
,7,,English,2184,343672,,
7,8,,,,97013,,Warfrog Games
,8,36807,,,97013,Bryan King,
,8,,English,2184,97013,,
7,8,,,,29545,,Warfrog Games
,8,36807,,,29545,Bryan King,
,8,,Dutch,2183,29545,,
,8,,English,2184,29545,,
,8,,German,2188,29545,,
267,9,,,,27321,,999 Games
,9,74,,,27321,Doris Matthäus,
,9,,Dutch,2183,27321,,
133,9,,,,26072,,Hans im Glück
3,9,,,,26072,,Rio Grande Games
,9,74,,,26072,Doris Matthäus,
,9,,English,2184,26072,,
3,9,,,,215285,,Rio Grande Games
,9,74,,,215285,Doris Matthäus,
,9,,English,2184,215285,,
133,9,,,,27363,,Hans im Glück
,9,74,,,27363,Doris Matthäus,
,9,,German,2188,27363,,
133,9,,,,570746,,Hans im Glück
,9,74,,,570746,Doris Matthäus,
,9,,German,2188,570746,,
4304,10,,,,564005,,Albi
,10,9,,,564005,Alan R. Moon,
,10,,Czech,2180,564005,,
267,10,,,,24585,,999 Games
,10,74,,,24585,Doris Matthäus,
,10,,Dutch,2183,24585,,
3,10,,,,23895,,Rio Grande Games
,10,74,,,23895,Doris Matthäus,
,10,,English,2184,23895,,
8,10,,,,213604,,AMIGO
,10,74,,,213604,Doris Matthäus,
,10,,English,2184,213604,,
,10,,German,2188,213604,,
8,10,,,,25193,,AMIGO
,10,74,,,25193,Doris Matthäus,
,10,,German,2188,25193,,
8,10,,,,24185,,AMIGO
,10,74,,,24185,Doris Matthäus,
,10,,German,2188,24185,,
8,10,,,,24388,,AMIGO
,10,74,,,24388,Doris Matthäus,
,10,,Dutch,2183,24388,,
,10,,English,2184,24388,,
,10,,French,2187,24388,,
,10,,German,2188,24388,,
,10,,Italian,2193,24388,,
8,10,,,,72206,,AMIGO
,10,74,,,72206,Doris Matthäus,
,10,,English,2184,72206,,
,10,,French,2187,72206,,
,10,,German,2188,72206,,
,10,,Italian,2193,72206,,
8,10,,,,459712,,AMIGO
,10,74,,,459712,Doris Matthäus,
,10,,English,2184,459712,,
,10,,French,2187,459712,,
,10,,German,2188,459712,,
,10,,Italian,2193,459712,,
,10,,Japanese,2194,459712,,
18852,10,,,,251848,,Hobby World
,10,,Russian,2202,251848,,
3395,10,,,,30565,,Midgaard Games
,10,,Danish,2182,30565,,
,10,,Norwegian,2198,30565,,
,10,,Swedish,2204,30565,,
8,11,,,,90800,,AMIGO
27545,11,,,,90800,,Tempo Games (I)
,11,,German,2188,90800,,
8,11,,,,26110,,AMIGO
,11,12024,,,26110,Björn Pertoft,
,11,,German,2188,26110,,
8,11,,,,159037,,AMIGO
9234,11,,,,159037,,"Swan Panasia Co., Ltd."
,11,12024,,,159037,Björn Pertoft,
,11,,Chinese,2181,159037,,
8,11,,,,26374,,AMIGO
,11,12024,,,26374,Björn Pertoft,
,11,,German,2188,26374,,
8,11,,,,463995,,AMIGO
,11,11507,,,463995,Klemens Franz,
,11,,German,2188,463995,,
8,11,,,,29820,,AMIGO
,11,12024,,,29820,Björn Pertoft,
,11,,German,2188,29820,,
8,11,,,,185227,,AMIGO
,11,12024,,,185227,Björn Pertoft,
,11,,French,2187,185227,,
,11,,German,2188,185227,,
8,11,,,,247063,,AMIGO
,11,12024,,,247063,Björn Pertoft,
,11,,German,2188,247063,,
7162,11,,,,112195,,Brain Games
,11,12024,,,112195,Björn Pertoft,
,11,,Estonian,2185,112195,,
,11,,Latvian,2196,112195,,
,11,,Lithuanian,2197,112195,,
,11,,Russian,2202,112195,,
9068,11,,,,579432,,Broadway Toys LTD
,11,,Chinese,2181,579432,,
,11,,English,2184,579432,,
2378,11,,,,209104,,Copag Cards
,11,,Portuguese,2200,209104,,
6818,11,,,,33278,,Corfix
,11,11507,,,33278,Klemens Franz,
,11,12024,,,33278,Björn Pertoft,
,11,,Czech,2180,33278,,
267,11,,,,27044,,999 Games
8,11,,,,27044,,AMIGO
,11,11507,,,27044,Klemens Franz,
,11,24642,,,27044,Atelier Löwentor,
,11,12024,,,27044,Björn Pertoft,
,11,,Dutch,2183,27044,,
267,11,,,,412640,,999 Games
8,11,,,,412640,,AMIGO
,11,,Dutch,2183,412640,,
3,11,,,,345692,,Rio Grande Games
,11,,English,2184,345692,,
8,11,,,,575875,,AMIGO
,11,12024,,,575875,Björn Pertoft,
,11,,English,2184,575875,,
3,11,,,,20487,,Rio Grande Games
,11,12024,,,20487,Björn Pertoft,
