game_id,id,value
181,4324,Risk: The Lord of the Rings
181,147568,Risk: The Walking Dead – Survival Edition
181,27961,Risk: Transformers – Cybertron Battle Edition
181,242649,War Vikings
181,9294,La Conquête du Monde
182,322787,Confrontation
183,95491,Linea
186,5332,Split (Revised Edition)
189,13,CATAN
194,386007,Groo: The Game
196,161782,Kremlin (Third Edition)
197,2698,FrachtExpress
197,2339,HellRail: Third Perdition
197,4997,HellRail
198,342073,Berried Treasure
198,18013,High Spirits with Calvin and the Colonel
200,1334,Entdecker: Exploring New Horizons
200,31410,Im Reich der Jadegöttin
200,35293,Im Reich der Wüstensöhne
200,14017,Oceania
204,30365,The Great Chinese Railway Game
214,27683,Café International Junior
214,1324,Café International: Das Kartenspiel
223,136558,Expedition: Famous Explorers
223,381854,Expeditions: Around the World
223,156,Wildlife Adventure
224,46007,A Brief History of the World
226,867,Morisi
226,37379,Netzwerk
229,10,Elfenland
230,131646,Merchant of Venus (Second Edition)
232,135281,Serenissima (Second Edition)
234,227460,Hannibal & Hamilcar
235,25685,Blackbeard: The Golden Age of Piracy
240,280106,Britannia: Classic and New Duel Edition
242,192777,Junta: Las Cartas
250,483,Diplomacy
254,32005,Empires in Harm
257,120447,Get Lucky
257,250963,The Island of Doctor Lucky
258,375295,Across America Fluxx
258,178209,Adventure Time Fluxx
258,244738,Anatomy Fluxx
258,378278,Around the World Fluxx
258,290025,Astronomy Fluxx
258,178210,Batman Fluxx
258,404982,Camping Fluxx
258,160814,Cartoon Network Fluxx
258,220193,Chemistry Fluxx
258,122159,Cthulhu Fluxx
258,235365,Doctor Who Fluxx
258,211996,Drinking Fluxx
258,255013,Fairy Tale Fluxx
258,17816,Family Fluxx
258,325409,Fantasy Fluxx
258,183896,Firefly Fluxx
258,314413,Fluxx
258,350764,Fluxx Remixx
258,280378,Fluxx: Rick and Morty
258,140796,Fluxx: The Board Game
258,162378,Holiday Fluxx
258,272542,Jumanji Fluxx
258,35369,Martian Fluxx
258,272541,Marvel Fluxx
258,219430,Math Fluxx
258,149130,Monster Fluxx
258,36345,Monty Python Fluxx
