game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
374871,boardgame,Not Ranked,0,0,Unknown,0,0,0,0,1,2024-01-26 10:07:08
374730,boardgame,Not Ranked,0,0,Unknown,10,0,1,0,1,2024-01-26 10:07:08
372211,boardgame,Not Ranked,0,0,Unknown,8.5,0,2,0,5,2024-01-26 10:07:08
370401,boardgame,Not Ranked,0,0,Unknown,8,0,1,0,1,2024-01-26 10:07:08
246018,boardgame,Not Ranked,0,0,Unknown,0,0,0,0,1,2024-01-26 10:07:08
