game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
24,thematic,822,6,2,Moderate in-game text - needs crib sheet or paste ups,6.62163,5.7559,709,3.4444,895,2024-01-27 10:05:18
25,boardgame,11685,4,1,Extensive use of text - massive conversion needed to be playable,5.91638,5.54991,327,3.2,688,2024-01-27 10:05:18
25,wargames,2919,4,1,Extensive use of text - massive conversion needed to be playable,5.91638,5.54991,327,3.2,688,2024-01-27 10:05:18
25,thematic,1287,4,1,Extensive use of text - massive conversion needed to be playable,5.91638,5.54991,327,3.2,688,2024-01-27 10:05:18
26,boardgame,1713,5,2,Extensive use of text - massive conversion needed to be playable,7.09647,6.28601,2209,3.8545,2958,2024-01-27 10:05:18
26,strategygames,905,5,2,Extensive use of text - massive conversion needed to be playable,7.09647,6.28601,2209,3.8545,2958,2024-01-27 10:05:18
27,boardgame,16820,4,1,Some necessary text - easily memorized or small crib sheet,5.67606,5.51969,1375,3.124,2427,2024-01-27 10:05:18
27,wargames,4087,4,1,Some necessary text - easily memorized or small crib sheet,5.67606,5.51969,1375,3.124,2427,2024-01-27 10:05:18
28,boardgame,2304,4,2,Extensive use of text - massive conversion needed to be playable,6.4731,6.12029,5168,2.656,9419,2024-01-27 10:05:18
28,thematic,599,4,2,Extensive use of text - massive conversion needed to be playable,6.4731,6.12029,5168,2.656,9419,2024-01-27 10:05:18
28,strategygames,1300,4,2,Extensive use of text - massive conversion needed to be playable,6.4731,6.12029,5168,2.656,9419,2024-01-27 10:05:18
29,boardgame,12859,4,1,No necessary in-game text,6.65214,5.54049,70,3.25,222,2024-01-27 10:05:18
30,boardgame,3148,4,4+,No necessary in-game text,6.86752,5.94969,1393,1.802,1886,2024-01-27 10:05:18
30,thematic,667,4,4+,No necessary in-game text,6.86752,5.94969,1393,1.802,1886,2024-01-27 10:05:18
31,boardgame,25318,5,5+,Moderate in-game text - needs crib sheet or paste ups,5.39325,5.43909,839,1.9107,2220,2024-01-27 10:05:18
31,thematic,1567,5,5+,Moderate in-game text - needs crib sheet or paste ups,5.39325,5.43909,839,1.9107,2220,2024-01-27 10:05:18
32,boardgame,9186,2,1,No necessary in-game text,6.07099,5.5828,366,1.6154,764,2024-01-27 10:05:18
32,abstracts,445,2,1,No necessary in-game text,6.07099,5.5828,366,1.6154,764,2024-01-27 10:05:18
34,boardgame,5393,4,7,Extensive use of text - massive conversion needed to be playable,6.64709,5.71398,565,2.4082,960,2024-01-27 10:05:18
34,thematic,893,4,7,Extensive use of text - massive conversion needed to be playable,6.64709,5.71398,565,2.4082,960,2024-01-27 10:05:18
36,boardgame,7021,2,1,Extensive use of text - massive conversion needed to be playable,6.41026,5.63516,419,4.4032,1222,2024-01-27 10:05:18
36,wargames,1306,2,1,Extensive use of text - massive conversion needed to be playable,6.41026,5.63516,419,4.4032,1222,2024-01-27 10:05:18
37,boardgame,19252,0,0,Unknown,5.78882,5.50967,152,2.0909,388,2024-01-27 10:05:18
37,wargames,3673,0,0,Unknown,5.78882,5.50967,152,2.0909,388,2024-01-27 10:05:18
38,boardgame,14221,4,1,Unknown,6.14804,5.53216,102,1.9,300,2024-01-27 10:05:18
39,boardgame,22582,0,0,Unknown,5.32838,5.49356,111,2.4444,298,2024-01-27 10:05:18
39,thematic,1498,0,0,Unknown,5.32838,5.49356,111,2.4444,298,2024-01-27 10:05:18
39,strategygames,2807,0,0,Unknown,5.32838,5.49356,111,2.4444,298,2024-01-27 10:05:18
40,boardgame,7255,4,2,Some necessary text - easily memorized or small crib sheet,6.73703,5.628,278,2.7826,590,2024-01-27 10:05:18
40,wargames,1242,4,2,Some necessary text - easily memorized or small crib sheet,6.73703,5.628,278,2.7826,590,2024-01-27 10:05:18
40,thematic,1009,4,2,Some necessary text - easily memorized or small crib sheet,6.73703,5.628,278,2.7826,590,2024-01-27 10:05:18
41,boardgame,777,3,1,No necessary in-game text,6.9056,6.74468,17896,1.1494,17037,2024-01-27 10:05:18
41,familygames,227,3,1,No necessary in-game text,6.9056,6.74468,17896,1.1494,17037,2024-01-27 10:05:18
42,boardgame,103,4,1,No necessary in-game text,7.70468,7.52261,28412,3.5002,31083,2024-01-27 10:05:18
42,strategygames,91,4,1,No necessary in-game text,7.70468,7.52261,28412,3.5002,31083,2024-01-27 10:05:18
43,boardgame,6332,4,1,No necessary in-game text,6.56726,5.66236,377,2.4242,504,2024-01-27 10:05:18
43,strategygames,2031,4,1,No necessary in-game text,6.56726,5.66236,377,2.4242,504,2024-01-27 10:05:18
44,boardgame,3145,4,1,No necessary in-game text,6.48525,5.9498,1696,1.6188,2018,2024-01-27 10:05:18
44,familygames,964,4,1,No necessary in-game text,6.48525,5.9498,1696,1.6188,2018,2024-01-27 10:05:18
45,boardgame,820,6,1,No necessary in-game text,6.91336,6.71484,14917,1.2563,20071,2024-01-27 10:05:18
45,partygames,59,6,1,No necessary in-game text,6.91336,6.71484,14917,1.2563,20071,2024-01-27 10:05:18
45,familygames,238,6,1,No necessary in-game text,6.91336,6.71484,14917,1.2563,20071,2024-01-27 10:05:18
