game_id,id,value
2136,12499,Schöne alte Spiele
2136,272748,Tuttiludi
2136,242290,Winnetou 2
2176,32928,Mü and Lots More
2193,5811,The Best of Dragon Magazine Games
2223,314892,5 Alive / Uno
2223,337824,UNO Bundle Collector Tin
2223,349555,UNO Stacko Travel Size Bonus Pak
2228,144845,The Games of Middle Earth
2232,4385,A Gamut of Games
2243,160001,"Family Game Night Book and Game Set: Scrabble, Clue, Sorry, Yahtzee"
2243,147369,Scrabble and Yahtzee
2802,12900,"War in the East: The Russo-German Conflict, 1941-45 (Second Edition)"
2802,17102,"War in the West: WWII in Western Europe, 1939-1945"
2821,349555,UNO Stacko Travel Size Bonus Pak
2861,22094,A Book of Sandhurst Wargames
2867,5811,The Best of Dragon Magazine Games
2875,258379,World in Flames Collector's Edition Super Deluxe
2883,2397,Backgammon
2883,19254,Blue and Gray
2883,12694,Brax
2883,2083,Checkers
2883,4386,Fanorona
2883,10213,Fox and Geese
2883,188,Go
2883,38950,Halma
2883,13716,Hasami Shogi
2883,4112,Hex
2883,39944,Hoppers
2883,2448,Kalah
2883,3886,Nine Men's Morris
2883,13714,Qubic
2883,13713,Solitaire
2883,13715,Surakarta
2912,16717,Ancient Board Games
2912,7159,The Boardgame Book
2916,5811,The Best of Dragon Magazine Games
2919,5811,The Best of Dragon Magazine Games
2921,345085,The Game of Life / Pay Day
2932,5811,The Best of Dragon Magazine Games
2932,349795,"Generic Board ""Square"" Set"
2933,5811,The Best of Dragon Magazine Games
2939,22094,A Book of Sandhurst Wargames
2957,33023,Trivial Pursuit: Greatest Hits
2966,22094,A Book of Sandhurst Wargames
2976,22094,A Book of Sandhurst Wargames
3042,67792,The Barbarian
3042,159818,Survival!
3057,338556,Knockabout / Warp 6
3076,108687,Puerto Rico
3076,318985,Puerto Rico
3076,165332,Puerto Rico + Expansion I
3076,367272,Puerto Rico 1897
3078,338556,Knockabout / Warp 6
3144,20741,Abbott's New Card Games
3243,192814,Lobo: 10° Aniversário
3243,159908,Wilki i Owce (zawiera dodatek Grube Ryby)
3270,8706,Chief Herman's Next Big Thing
3270,141567,Poker Suite
3360,363727,Classic Card Game Compendium
3396,183474,Tressette
3406,4385,A Gamut of Games
3463,256885,The Fantasy Trip: Legacy Edition
3464,256885,The Fantasy Trip: Legacy Edition
3573,393762,Napoleon at Waterloo
3583,7159,The Boardgame Book
3600,17728,"Traveller: The Classic Games, Games 1-6+"
3661,17728,"Traveller: The Classic Games, Games 1-6+"
3663,146115,StarForce Trilogy
3694,17452,"The Black Prince: The Battle of Navarette, 1367"
3694,5484,King Arthur: The Battle of Stonehenge 536
3694,11510,"Robert at Bannockburn: The Battle of Bannockburn, 1314"
3694,11855,"Tamburlaine the Great: The Battle of Angorra, 1402"
3699,137827,Killer Bunnies and the Quest for the Magic Carrot: Deluxe Limited Edition
3886,35863,The 15 Greatest Board Games in the World
3886,7159,The Boardgame Book
3886,2883,The Book of Classic Board Games
3886,317608,Gamebook: An Interactive Book of Board Games
3886,96628,Miscellaneous Game Compilation
3886,59092,Nine Man Morris and The King & The Knights
3886,7157,Play the Game
3886,133641,The Reliquary Collection
3886,12499,Schöne alte Spiele
3886,130775,Verkade spel
3935,12230,"Acre: Richard Lionheart's Siege, 1191"
3935,12218,"Lille: The Classic Vauban Siege, 1708"
3935,11846,"Sevastopol: The First Modern Siege, 1854-55"
3935,12219,"Tyre: Alexander's Siege and Assault, 322 BC"
3937,30765,Miro
3937,30691,Mondrian
3937,30503,Springer
3939,30988,Away Across
3939,38682,High Finance
3939,31064,Invasion
3939,31050,Run for President
3939,31051,Target Number
3939,38550,Travels
3955,128666,BANG! 10th Anniversary
3955,345203,BANG! Dynamite Box
3955,30933,BANG! The Bullet!
3955,153967,Wanted! Dead or Alive
3965,17728,"Traveller: The Classic Games, Games 1-6+"
3983,20741,Abbott's New Card Games
4068,146934,Big Deal Card Games
4085,298529,Basic 3
4112,2883,The Book of Classic Board Games
4132,7158,Great Board Games
4148,16717,Ancient Board Games
4180,311862,Pizza Wars & Pizza Wars Imperium
4230,30020,La Belle Alliance: The Battle of Waterloo
4230,30023,Ligny: The Incomplete Victory
4230,30022,Quatre Bras: Stalemate on the Brussels Road
4230,30021,Wavre: The Lost Opportunity
4252,298529,Basic 3
4317,17728,"Traveller: The Classic Games, Games 1-6+"
4385,38150,All My Diamonds
4385,19254,Blue and Gray
4385,25314,Bowling Solitaire
4385,217547,Can't Stop Express
4385,21682,Card Baseball
4385,38351,Change Change
4385,38234,Color Gin
4385,21845,Crossings
4385,19916,Cups
4385,38347,Cutting Corners
4385,789,Focus
4385,17529,Haggle
4385,19913,Hekaton
4385,38346,Hold that Line
4385,26341,Knight Chase
4385,19917,LAP
4385,38349,Last Word
4385,3406,Lines of Action
4385,19253,Mate
4385,19026,Mini Golf
4385,35465,Network
4385,38352,The No Game
4385,17967,Origins of World War I
4385,38148,Osmosis
4385,26355,Paks
4385,38348,Paper Boxing
4385,38149,Patterns
4385,17864,Patterns II
4385,19262,Plank
4385,37684,Poke
4385,38350,Property
4385,37922,Skedoodle
4385,27587,SLAM!
4385,38322,Suit Yourself
4385,38345,Take it Away
4385,21861,Three Musketeers
4385,43220,Triad
4385,19257,Le Truc
4385,2232,Wu Hsing
4385,19912,Zetema
4386,35863,The 15 Greatest Board Games in the World
4386,352837,AGON: 24 táblajáték a nagyvilágból
4386,7159,The Boardgame Book
4386,2883,The Book of Classic Board Games
4431,221344,Spiele-Box
4505,202821,The Fool's Journey
4519,40249,Luck
4564,6360,"Antietam: The Bloodiest Day, 17 September 1862"
4564,13921,"Cemetery Hill: The Battle of Gettysburg, 1-3 July, 1863"
4564,13920,"Chickamauga: The Last Victory, 20 September 1863"
4564,13919,"Shiloh: The Battle for Tennessee, 6-7 April, 1862"
4583,18272,Play Winning Card Games For Three
4656,153759,Angel Chess
4792,238250,Porsta
4848,25479,"Battle of the Wilderness: Gaining the Initiative, May 5-6, 1864"
4848,25478,"Chattanooga: Gateway to Victory, Nov. 24-25, 1863"
4848,25477,"Fredericksburg: The Union Repulsed, Dec. 13, 1862"
4848,25476,"Hooker and Lee: The Battle of Chancellorsville, May 2-3, 1863"
4853,186430,Five Famous Favorites
4902,159982,Blankety Blank / The Price Is Right: Gameshow Duo
6045,316170,Alexandros and I Am Spartacus!
6089,147757,Financier
6089,43144,The Great Races
6089,147755,Oil Strike!
6089,330775,Pay Off
6089,137591,Spy!
6121,352837,AGON: 24 táblajáték a nagyvilágból
6121,7159,The Boardgame Book
6121,317608,Gamebook: An Interactive Book of Board Games
6215,146115,StarForce Trilogy
6249,45358,Alhambra: Big Box
6249,326355,Alhambra: Big Box (Second Edition)
6249,140709,Alhambra: Family Box
6249,251830,Alhambra: Mega Box
6251,185753,Arnhem: Defiant Stand Master Set
6282,17728,"Traveller: The Classic Games, Games 1-6+"
6360,4564,Blue & Gray: Four American Civil War Battles
6360,178633,Conflicts in American History: The Civil War – Module 1
6474,170096,de Bono: Two Smart Games
6475,170096,de Bono: Two Smart Games
6504,155664,Ace of Aces: Wingleader Deluxe Boxed Set
412106,278553,Silver
412106,278554,Silver Bullet
412106,302926,Silver Coin
412106,318098,Silver Dagger
412106,405398,Silver Eye
412106,407716,Silver Fang
