name,game_id,type,avg_rating,avg_bayes_rating,users_rated,weight,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,updated_at
Sophie's World,55,boardgame,4.8567,5.46529,97,1.5,1998,2,6,60,90,12,295,2024-01-23 18:07:59
Schoko & Co.,57,boardgame,6.65378,5.69452,427,2.9216,1987,2,4,180,180,13,914,2024-01-23 18:07:59
Kings & Things,58,boardgame,6.51858,5.93628,1681,2.6442,1986,2,4,60,180,12,3531,2024-01-23 18:07:59
Giganten,59,boardgame,6.69994,5.9996,1427,2.5693,1999,3,4,90,90,10,2025,2024-01-23 18:07:59
Vinci,60,boardgame,7.06651,6.52621,4047,2.7805,1999,3,6,120,120,14,3846,2024-01-23 18:07:59
Fossil,61,boardgame,5.43434,5.47913,678,1.75,1998,2,6,40,40,10,1006,2024-01-23 18:07:59
Curse of the Mummy's Tomb,62,boardgame,5.31473,5.46619,353,1.8462,1988,1,4,120,120,12,681,2024-01-23 18:07:59
Samurai: Game of Politics and Warfare in Feudal Japan,63,boardgame,6.44871,5.65112,448,2.6296,1979,2,8,180,180,12,1223,2024-01-23 18:07:59
Joan of Arc,64,boardgame,6.25809,5.62304,465,2.5424,1998,3,6,180,180,12,795,2024-01-23 18:07:59
The Garden Game,65,boardgame,4.16071,0,28,1.3333,1996,2,6,30,30,8,59,2024-01-23 18:07:59
Löwenherz,66,boardgame,7.03867,6.35759,2589,2.8728,1997,2,4,90,90,12,3823,2024-01-23 18:07:59
Conquest,67,boardgame,6.39267,5.63174,382,2.4848,1974,2,4,120,120,10,875,2024-01-23 18:07:59
Successors (First/Second Edition),68,boardgame,7.03613,5.78902,501,3.2206,1997,2,4,180,180,12,912,2024-01-23 18:07:59
Bollox,69,boardgame,6.71458,5.52456,48,2.4,1999,2,2,20,20,10,113,2024-01-23 18:07:59
Big City,70,boardgame,6.85772,6.23729,2447,2.2154,1999,2,5,60,60,10,2677,2024-01-23 18:07:59
Civilization,71,boardgame,7.49712,7.02367,7477,3.6473,1980,2,7,360,360,12,11003,2024-01-23 18:07:59
Verräter,72,boardgame,6.67605,6.08015,1987,2.5676,1998,3,4,60,60,12,4332,2024-01-23 18:07:59
Show Manager,73,boardgame,6.98773,6.19223,1801,2.0938,1996,2,6,60,60,10,2041,2024-01-23 18:07:59
Apples to Apples,74,boardgame,5.75712,5.64402,19111,1.1551,1999,4,10,20,30,12,29235,2024-01-23 18:07:59
Falling,75,boardgame,5.4957,5.48674,1420,1.218,1998,4,8,5,5,8,2473,2024-01-23 18:07:59
Air Baron,76,boardgame,6.40582,5.73298,780,2.5484,1996,2,6,120,120,10,1024,2024-01-23 18:07:59
"EastFront: The War in Russia, 1941-45",77,boardgame,7.67817,6.02981,688,3.6,1991,2,2,240,240,12,1157,2024-01-23 18:07:59
"WestFront: The War in Europe, 1943-45",78,boardgame,6.8596,5.60693,190,3.4706,1992,2,2,240,240,12,576,2024-01-23 18:07:59
MedFront: War in North Africa 1940-43,79,boardgame,6.34016,5.54593,127,3.0769,1994,2,2,180,180,12,422,2024-01-23 18:07:59
Bobby Lee: The Civil War in Virginia 1861-1865,82,boardgame,6.74752,5.68599,370,2.9216,1993,2,2,240,240,12,966,2024-01-23 18:07:59
Sam Grant: The Civil War in the West 1862-1864,83,boardgame,6.43448,5.55394,145,2.8519,1997,2,2,180,180,12,486,2024-01-23 18:07:59
Rommel in the Desert,84,boardgame,7.54783,6.19074,1071,3.4,1982,2,2,150,150,12,2385,2024-01-23 18:07:59
Quebec 1759,85,boardgame,6.94799,5.86582,738,2.1279,1972,2,2,60,60,12,1320,2024-01-23 18:07:59
Victory: World War II,87,boardgame,6.37533,5.64409,425,2.5962,1998,2,4,120,120,12,849,2024-01-23 18:07:59
Torres,88,boardgame,7.09218,6.78187,9637,2.86,1999,2,4,60,60,10,13880,2024-01-23 18:07:59
Blue vs. Gray,89,boardgame,6.73627,5.72509,468,2.803,1999,2,4,120,120,12,1159,2024-01-23 18:07:59
Star Wars: Episode 1 – Clash of the Lightsabers,90,boardgame,6.20032,5.66292,609,1.4262,1999,2,2,20,20,8,1105,2024-01-23 18:07:59
Paths of Glory,91,boardgame,8.05573,7.28749,5143,3.8533,1999,2,2,480,480,14,9961,2024-01-23 18:07:59
El Grande,93,boardgame,7.73918,7.56027,27657,3.0282,1995,2,5,60,120,12,27092,2024-01-23 18:07:59
Union Pacific,94,boardgame,7.18983,6.6439,4327,2.5458,1999,2,6,90,90,12,4566,2024-01-23 18:07:59
Igel Ärgern,95,boardgame,6.40994,5.81034,1056,1.381,1990,2,6,30,30,8,1187,2024-01-23 18:07:59
Broadsides & Boarding Parties,96,boardgame,6.21075,5.63663,596,1.8333,1982,2,2,60,60,10,1112,2024-01-23 18:07:59
Conquest of the Empire,97,boardgame,6.29128,5.73002,1056,2.5301,1984,2,6,180,240,10,1889,2024-01-23 18:07:59
Axis & Allies,98,boardgame,6.57068,6.27765,11019,3.0364,1981,2,5,180,180,12,15914,2024-01-23 18:07:59
Fortress America,99,boardgame,6.71909,6.12374,2513,2.6382,1986,2,4,180,180,12,4074,2024-01-23 18:07:59
Detroit-Cleveland Grand Prix,101,boardgame,6.77946,5.95646,1125,1.708,1996,2,6,60,60,8,1396,2024-01-23 18:07:59
Klunker,102,boardgame,6.19969,5.72063,924,1.7674,1999,3,5,30,30,10,1481,2024-01-23 18:07:59
Titan,103,boardgame,6.96852,6.39872,4002,3.4603,1980,2,6,30,240,12,5812,2024-01-23 18:07:59
Extrablatt,104,boardgame,6.98652,5.67765,270,2.9,1991,3,4,90,90,14,369,2024-01-23 18:07:59
Colossal Arena,105,boardgame,6.7644,6.47527,7260,2.0203,1997,2,5,40,60,8,8841,2024-01-23 18:07:59
Mystery Rummy: Jack the Ripper,106,boardgame,6.94995,6.39721,3513,1.7483,1998,2,4,45,45,10,6110,2024-01-23 18:07:59
Peaceful Resistance,107,boardgame,5.72353,0,17,1,1995,2,3,30,30,0,47,2024-01-23 18:07:59
TAMSK,108,boardgame,6.76398,6.0095,1405,2.2866,1998,2,2,20,20,8,2140,2024-01-23 18:07:59
Wettstreit der Baumeister,109,boardgame,6.08789,5.58972,393,2,1994,3,4,45,45,10,765,2024-01-23 18:07:59
Auf Achse,110,boardgame,6.23476,5.84097,1884,1.9603,1987,2,6,60,60,8,3156,2024-01-23 18:07:59
Rheinländer,111,boardgame,6.6418,6.01146,1671,2.4233,1999,3,5,45,45,12,2272,2024-01-23 18:07:59
Condottiere,112,boardgame,6.87791,6.62023,10071,1.9588,1995,2,6,20,45,10,13056,2024-01-23 18:07:59
"Plotters, Inc.",113,boardgame,6.72339,5.66878,327,1.8636,1999,4,6,60,60,10,576,2024-01-23 18:07:59
Ransom,114,boardgame,6.33625,5.52771,80,1.625,1994,2,6,45,45,12,139,2024-01-23 18:07:59
I'm the Boss!,115,boardgame,6.77389,6.31683,3866,1.9684,1994,3,6,60,60,12,4385,2024-01-23 18:07:59
Guillotine,116,boardgame,6.53896,6.39682,21198,1.2661,1998,2,5,30,30,12,31987,2024-01-23 18:07:59
Ta Yü,117,boardgame,6.94677,6.11374,1539,2.0671,1999,2,4,30,45,10,2102,2024-01-23 18:07:59
Modern Art,118,boardgame,7.49462,7.30299,21770,2.2885,1992,3,5,45,45,10,27890,2024-01-23 18:07:59
Kingdoms,119,boardgame,6.6613,6.31473,4979,1.8373,1994,2,4,45,45,9,6469,2024-01-23 18:07:59
Hoity Toity,120,boardgame,6.51512,6.21815,5293,1.8657,1990,2,5,45,45,12,8329,2024-01-23 18:07:59
Dune,121,boardgame,7.58984,6.99964,5847,3.4431,1979,2,6,60,180,12,6736,2024-01-23 18:07:59
Quo Vadis?,122,boardgame,6.47932,6.02038,2313,2.0808,1992,3,5,45,45,12,3007,2024-01-23 18:07:59
Green Thumb Cards,123,boardgame,7.31034,0,29,1.2,1996,2,5,45,45,7,54,2024-01-23 18:07:59
Primordial Soup,124,boardgame,6.92485,6.489,4705,2.7321,1997,3,4,90,90,12,5616,2024-01-23 18:07:59
Money!,125,boardgame,6.53553,6.10112,2901,1.5442,1999,3,5,30,30,10,4043,2024-01-23 18:07:59
The Really Nasty Horse Racing Game,126,boardgame,6.27317,5.69775,861,1.6582,1989,2,6,90,90,12,1340,2024-01-23 18:07:59
Princess Ryan's Star Marines,127,boardgame,5.40321,5.48541,218,2.44,1997,1,6,120,120,10,552,2024-01-23 18:07:59
Take it Easy!,128,boardgame,6.60071,6.15132,3171,1.4798,1983,1,8,20,20,10,4487,2024-01-23 18:07:59
Iron Dragon,130,boardgame,7.0201,6.13301,1657,2.9329,1994,2,6,240,240,12,2593,2024-01-23 18:07:59
Caesar & Cleopatra,132,boardgame,6.39776,6.09652,4587,1.9106,1997,2,2,60,60,10,7804,2024-01-23 18:07:59
Frischfleisch,133,boardgame,6.13096,5.54575,156,2.5455,1999,2,6,120,120,18,255,2024-01-23 18:07:59
Cape Horn,134,boardgame,5.99193,5.60095,564,2.0227,1999,3,5,45,60,12,1015,2024-01-23 18:07:59
Kontor,135,boardgame,5.96661,5.6229,826,2.2025,1999,2,4,60,60,12,1736,2024-01-23 18:07:59
Robin Hood,136,boardgame,5.42824,5.49596,85,1.6,1999,3,6,30,30,8,244,2024-01-23 18:07:59
Pass the Bomb,137,boardgame,5.82035,5.61444,1575,1.2967,1994,2,10,20,20,12,3103,2024-01-23 18:07:59
Hoax,139,boardgame,5.92753,5.54025,227,1.3529,1981,3,12,45,45,10,426,2024-01-23 18:07:59
Pit,140,boardgame,6.38272,6.18935,9392,1.1556,1903,3,8,30,90,7,17417,2024-01-23 18:07:59
Andromeda,141,boardgame,6.3827,5.83593,1312,2.2266,1999,3,5,60,60,10,1912,2024-01-23 18:07:59
Vino,142,boardgame,6.43014,5.7393,689,2.9846,1999,3,5,90,90,12,929,2024-01-23 18:07:59
Wortelboer,143,boardgame,4.1875,0,16,1,1999,2,4,30,30,0,37,2024-01-23 18:07:59
Elfenwizards,144,boardgame,6.199,5.5308,110,2.3,1995,3,6,90,90,10,268,2024-01-23 18:07:59
Metropolis,145,boardgame,6.35037,5.63232,375,2.2353,1984,2,5,90,90,16,749,2024-01-23 18:07:59
Buy Low Sell High,146,boardgame,6.11239,5.68081,890,1.9907,1996,2,4,60,60,12,1203,2024-01-23 18:07:59
Crude: The Oil Game,147,boardgame,6.69262,5.92842,1133,2.7451,1974,2,4,90,90,13,1964,2024-01-23 18:07:59
Die Glücksritter,148,boardgame,5.69927,5.51158,137,1.7273,1999,3,6,60,60,8,207,2024-01-23 18:07:59
PitchCar,150,boardgame,7.26503,6.97989,10873,1.1259,1995,2,8,30,30,6,11767,2024-01-23 18:07:59
Piratenbillard,151,boardgame,6.56142,5.68672,429,1.2414,1989,2,4,15,15,8,321,2024-01-23 18:07:59
Mü & More,152,boardgame,7.15169,6.30929,1956,2.5591,1995,2,8,60,60,11,3149,2024-01-23 18:07:59
Take 5!,153,boardgame,6.55073,6.05473,2410,1.4615,1998,2,6,60,60,10,4879,2024-01-23 18:07:59
