name,game_id,type,avg_rating,avg_bayes_rating,users_rated,weight,year_published,min_players,max_players,min_play_time,max_play_time,min_age,owned_by,updated_at
Soccerboss,3322,boardgame,5.09524,0,21,1,1969,2,8,120,120,10,33,2024-01-23 18:09:23
Slapstick,3323,boardgame,5,0,7,0,1975,2,4,30,30,0,13,2024-01-23 18:09:23
Railroader,3324,boardgame,5.3813,5.48964,123,1.4783,1963,2,4,60,60,8,256,2024-01-23 18:09:23
Chartbuster,3325,boardgame,6.79878,5.50883,41,1.6667,1970,2,6,120,120,0,59,2024-01-23 18:09:23
The Scotch Whisky Game,3327,boardgame,5,0,5,0,1988,2,6,90,90,16,19,2024-01-23 18:09:23
Hans Dampf,3329,boardgame,4.8766,5.48486,47,1.3333,1989,4,8,30,30,10,104,2024-01-23 18:09:23
Peloton,3330,boardgame,7.13889,5.52581,36,2.4,1991,1,12,30,30,10,117,2024-01-23 18:09:39
Die Perlen der Scheherazade,3331,boardgame,5.71429,0,7,0,1992,3,6,60,60,10,53,2024-01-23 18:09:39
Karmas,3332,boardgame,6,0,5,0,1992,1,100,30,30,9,21,2024-01-23 18:09:39
Illegal,3334,boardgame,4.30556,0,18,1.3333,2000,2,6,30,30,10,62,2024-01-23 18:09:39
Ganoven Jagd,3335,boardgame,5.94419,5.50667,43,1.8333,1983,2,2,20,20,8,147,2024-01-23 18:09:39
Hol's der Teufel,3336,boardgame,4.70056,0,18,1,1996,3,5,20,20,8,41,2024-01-23 18:09:39
Double Down,3337,boardgame,5.62119,5.52069,722,1.0588,1993,2,8,30,30,8,1612,2024-01-23 18:09:39
Nimm's Leich!,3338,boardgame,5.86383,5.50868,47,1,1997,3,6,20,20,10,156,2024-01-23 18:09:39
Diceland: Deep White Sea,3339,boardgame,6.43315,5.60828,271,1.92,2002,2,5,20,20,10,529,2024-01-23 18:09:39
Hard Vacuum,3340,boardgame,7.34353,5.57445,85,2.75,2000,2,8,45,45,12,216,2024-01-23 18:09:39
Burn Rate,3341,boardgame,6.07406,5.61966,667,1.569,2002,2,4,45,45,13,953,2024-01-23 18:09:39
Soccerama,3342,boardgame,5.21429,5.49001,35,1.5,1968,2,6,60,60,0,56,2024-01-23 18:09:39
Go For Broke,3343,boardgame,4.78375,5.1798,1418,1.125,1965,2,6,45,60,8,2994,2024-01-23 18:09:39
Lone Wolf and Cub Game,3344,boardgame,4.31904,5.42403,146,1.7692,1989,1,2,60,60,12,390,2024-01-23 18:09:39
Sea-Life,3346,boardgame,5.32143,0,14,1,1997,2,6,20,20,10,51,2024-01-23 18:09:39
Solo,3347,boardgame,5.27556,5.3794,1205,1.0303,1993,2,10,30,30,6,1768,2024-01-23 18:09:39
Santa Fe Rails,3348,boardgame,6.79878,5.88506,869,2.51,2001,2,5,60,60,12,981,2024-01-23 18:09:39
Die Safeknacker,3349,boardgame,5.86707,5.50614,41,1.5,1996,3,5,20,20,10,72,2024-01-23 18:09:39
Schaska,3350,boardgame,5.68125,5.50297,32,1,1973,2,2,20,20,10,130,2024-01-23 18:09:39
Wer ist der Täter?,3351,boardgame,5.60526,5.49719,38,1.2,1989,2,12,20,20,10,87,2024-01-23 18:09:39
Gouda! Gouda! Cat Attack,3352,boardgame,5.23241,5.47047,216,1.1852,2002,2,6,30,45,8,358,2024-01-23 18:09:39
World War II: Barbarossa to Berlin,3353,boardgame,7.28099,6.16351,1295,3.5269,2002,2,2,420,420,14,2772,2024-01-23 18:09:39
Tide of Fortune,3354,boardgame,6.21277,5.51017,47,3.1429,1993,1,2,360,360,12,222,2024-01-23 18:09:39
Junk Yard,3355,boardgame,5.95,5.50614,30,2.5,2002,2,6,60,60,9,74,2024-01-23 18:09:39
Musketeers,3356,boardgame,5.46744,5.49961,39,1.75,1985,1,3,60,60,12,172,2024-01-23 18:09:39
Wie Hund und Katz!,3357,boardgame,5.57917,5.50025,120,1.4444,2002,2,6,30,30,10,251,2024-01-23 18:09:39
Affenraffen,3358,boardgame,5.91848,5.51764,92,1.1429,2002,2,6,20,20,6,184,2024-01-23 18:09:39
Anagrams,3359,boardgame,6.74429,5.54222,70,2,1875,2,6,45,45,8,202,2024-01-23 18:09:39
Lexicon,3360,boardgame,5.66691,5.50714,139,1.4545,1932,1,4,30,30,8,526,2024-01-23 18:09:39
Fast Freddy's Hong Kong Dice Game,3362,boardgame,5.25,0,10,0,1983,2,6,10,10,8,41,2024-01-23 18:09:39
Tripjat,3364,boardgame,6,0,8,2,1996,2,3,30,30,0,20,2024-01-23 18:09:39
Gumshoe,3365,boardgame,7.67167,5.62297,150,3,1985,1,6,120,120,12,534,2024-01-23 18:09:39
Das Zeitungsspiel,3366,boardgame,5,0,6,0,1995,2,5,45,45,9,26,2024-01-23 18:09:39
Trödeln,3368,boardgame,5.88235,0,17,1,1998,2,6,30,30,10,23,2024-01-23 18:09:39
John Carter: Warlord of Mars,3369,boardgame,6.59398,5.57251,176,3.1,1979,2,6,60,360,12,606,2024-01-23 18:09:39
Connections,3370,boardgame,5.77282,5.51867,188,1.7143,1991,2,2,10,10,10,408,2024-01-23 18:09:39
September,3371,boardgame,5.23333,5.49262,45,1.5,1985,2,2,20,20,4,76,2024-01-23 18:09:39
Zamix,3372,boardgame,3.8,0,5,0,1998,3,8,20,20,8,37,2024-01-23 18:09:39
San Gimignano,3373,boardgame,5.5093,5.50308,147,1.9091,2002,2,4,55,50,9,360,2024-01-23 18:09:39
Scrabble Crossword Cubes Game,3374,boardgame,5.79831,5.50774,77,1,1964,1,6,10,10,10,320,2024-01-23 18:09:39
"Kaos, The Game",3375,boardgame,5.30526,0,19,3,2002,2,4,45,45,10,18,2024-01-23 18:09:39
The Company War,3376,boardgame,6.05,5.50816,40,2.2,1983,2,4,60,180,10,200,2024-01-23 18:09:39
20 Questions,3377,boardgame,5.72627,5.53453,789,1.3088,1988,2,7,30,30,8,1579,2024-01-23 18:09:39
The Inventors,3378,boardgame,5.49219,5.47649,366,1.3704,1974,3,4,60,60,9,1046,2024-01-23 18:09:39
The Amazing Spider-Man Game,3379,boardgame,3,0,2,2,1993,2,4,30,30,4,11,2024-01-23 18:09:39
ReBoot Mainframe Game,3380,boardgame,2.33333,0,3,1,1995,2,6,30,30,5,13,2024-01-23 18:09:39
Chancer: The Game,3381,boardgame,2.5,0,2,0,0,2,6,60,60,0,7,2024-01-23 18:09:39
Sharpe's Attack,3382,boardgame,6.42857,0,21,2,1996,2,2,45,45,8,66,2024-01-23 18:09:39
Mahé,3383,boardgame,6.35126,5.74562,859,1.2264,1974,2,6,20,20,6,1380,2024-01-23 18:09:39
Kerrunch,3384,boardgame,5.62619,5.50448,42,2,1991,2,2,90,90,8,132,2024-01-23 18:09:39
Stratego: Star Wars,3385,boardgame,6.09027,5.59462,479,1.7143,2002,2,2,30,30,8,1202,2024-01-23 18:09:39
Snowboard,3387,boardgame,3.5,0,4,0,2002,2,6,60,60,12,21,2024-01-23 18:09:39
Bill: Le jeu,3388,boardgame,0,0,0,3,2002,2,6,90,90,8,3,2024-01-23 18:09:39
Castle Lords,3389,boardgame,4.37176,5.45271,85,1.2941,2002,3,6,45,45,7,210,2024-01-23 18:09:39
Friends,3390,boardgame,4.13444,5.43926,90,1.6667,1999,4,10,30,30,13,245,2024-01-23 18:09:39
Loft Story,3391,boardgame,0,0,0,0,2001,3,18,30,30,12,2,2024-01-23 18:09:39
Outlaw & Posse,3392,boardgame,6.125,0,4,1,1978,2,2,30,30,7,9,2024-01-23 18:09:39
Public Assistance,3393,boardgame,4.48056,5.45635,72,1.3636,1980,2,4,90,90,18,212,2024-01-23 18:09:39
Monopoly: The Simpsons,3394,boardgame,5.22886,5.37726,781,1.5714,2001,2,6,120,120,8,1998,2024-01-23 18:09:39
Cross Over,3395,boardgame,6.66667,0,3,0,2002,2,2,10,10,0,5,2024-01-23 18:09:39
Chiamo!,3396,boardgame,5.52,0,25,1.8571,2002,2,4,45,45,8,83,2024-01-23 18:09:39
Kooky Kalooki,3397,boardgame,5.44526,0,19,1,2002,3,6,60,60,8,65,2024-01-23 18:09:39
Eye of Horus,3398,boardgame,5.095,5.49043,44,1.3333,2002,2,8,45,45,7,116,2024-01-23 18:09:39
SeaNochle,3399,boardgame,3.88889,0,9,1,2002,2,6,90,90,8,48,2024-01-23 18:09:39
Undercover,3401,boardgame,5.72174,0,23,1,2000,2,4,30,30,10,51,2024-01-23 18:09:39
Modigliani,3402,boardgame,6.89795,5.52151,38,2,1993,2,6,60,60,10,85,2024-01-23 18:09:39
Rise and Fall,3403,boardgame,6.54965,5.55893,144,2.3462,1989,1,6,180,600,12,278,2024-01-23 18:09:39
The Legend of Landlock,3404,boardgame,5.73339,5.53695,432,1.2439,1995,2,4,20,20,8,773,2024-01-23 18:09:39
Tin Soldiers,3405,boardgame,5.82642,5.53352,204,1.6316,2002,3,5,30,30,10,370,2024-01-23 18:09:39
Lines of Action,3406,boardgame,7.13016,5.83123,547,2.72,1969,2,2,20,20,10,432,2024-01-23 18:09:39
Key Whiz,3407,boardgame,0,0,0,0,1990,2,4,20,20,10,1,2024-01-23 18:09:39
This Accursed Civil War,3408,boardgame,7.54549,5.74416,288,3.5517,2002,2,2,240,240,12,795,2024-01-23 18:09:39
The Napoleonic Wars,3409,boardgame,7.01114,5.89781,775,3.4857,2002,2,5,240,240,12,1143,2024-01-23 18:09:39
Halleluja,3410,boardgame,5.52174,0,23,2,2002,2,4,30,30,10,56,2024-01-23 18:09:39
Drive on Paris,3411,boardgame,6.95225,5.60562,178,2.7273,2000,2,2,300,300,12,516,2024-01-23 18:09:39
Brandywine,3412,boardgame,7.31544,5.66787,218,2.6667,2000,2,2,240,240,12,718,2024-01-23 18:09:39
Saratoga,3413,boardgame,7.1684,5.76942,404,2.5435,1998,2,2,180,180,12,1154,2024-01-23 18:09:39
"Yom Kippur: The Battle for the Sinai, October, 1973",3414,boardgame,7.04023,5.73249,394,2.5962,1995,2,2,240,240,12,1395,2024-01-23 18:09:39
Fallschirmjaeger: The Airborne Assault on Fortress Holland,3416,boardgame,7.73267,5.68055,194,3.0417,2001,1,4,120,6000,0,536,2024-01-23 18:09:39
Tribulation,3417,boardgame,5.75051,5.51044,98,1.5714,1974,1,6,30,30,10,242,2024-01-23 18:09:39
Danger Guy,3418,boardgame,4.20588,0,17,1,2001,2,4,20,20,13,53,2024-01-23 18:09:39
Star Trek: The Game,3419,boardgame,4.39227,5.40201,181,2.2143,1992,2,6,60,60,10,718,2024-01-23 18:09:39
Tip the Cows!,3420,boardgame,5.07692,0,26,1,1989,2,99,10,10,6,72,2024-01-23 18:09:39
StreetSoccer,3421,boardgame,6.52682,5.95514,1640,1.5407,2002,2,2,20,30,8,1564,2024-01-23 18:09:39
Fantasy,3422,boardgame,5.00481,5.36779,616,1.1556,2001,2,4,20,20,8,1557,2024-01-23 18:09:39
Equations,3423,boardgame,6.54412,5.50998,34,3,1963,2,6,30,30,12,138,2024-01-23 18:09:39
Skunk,3425,boardgame,5.71968,5.50395,63,1,1953,2,8,30,30,6,212,2024-01-23 18:09:39
Give Us A Clue,3426,boardgame,4.8,0,5,0,1986,2,8,60,60,10,8,2024-01-23 18:09:39
Blockhead!,3427,boardgame,5.40118,5.48172,297,1.0435,1952,1,6,10,10,4,573,2024-01-23 18:09:39
Save The World,3428,boardgame,3.80952,0,21,1,1989,2,6,30,30,0,57,2024-01-23 18:09:39
The Party Game,3429,boardgame,3.43333,0,15,1.75,1989,4,6,30,30,12,47,2024-01-23 18:09:39
The Three Stooges Card Game,3430,boardgame,4.79776,5.47182,67,1.2857,1998,2,3,30,30,10,163,2024-01-23 18:09:39
The Idiot Box,3431,boardgame,3.5,0,6,1,1988,2,6,30,30,8,15,2024-01-23 18:09:39
PSI,3432,boardgame,3.92,0,25,1.3333,1987,3,7,30,30,15,71,2024-01-23 18:09:39
ESP,3433,boardgame,2.25,0,6,0,1989,3,6,30,30,0,8,2024-01-23 18:09:39
Golden Deuce,3434,boardgame,5.40482,5.49021,85,1.6875,2002,2,4,90,90,10,241,2024-01-23 18:09:39
Zwergen Ziehen,3435,boardgame,5.74282,5.51031,110,1.1333,1997,2,4,20,20,10,253,2024-01-23 18:09:39
Schatzsucher,3436,boardgame,7.16667,0,9,2,2002,2,6,20,20,5,26,2024-01-23 18:09:39
Gogol,3437,boardgame,6.075,0,8,2,2002,2,2,20,20,10,8,2024-01-23 18:09:39
Shendao,3438,boardgame,5.89286,0,14,1,2002,2,2,30,30,7,49,2024-01-23 18:09:39
HeroClix,3439,boardgame,6.50954,5.9922,2539,2.8135,2002,2,2,60,60,10,3867,2024-01-23 18:09:39
Quip Qubes,3440,boardgame,4,0,26,1.5,1981,2,2,60,60,8,129,2024-01-23 18:09:39
Marino,3441,boardgame,6.07143,0,7,2,1992,2,4,10,10,8,27,2024-01-23 18:09:39
Politrics,3443,boardgame,4.72857,0,7,0,1996,2,6,60,60,0,20,2024-01-23 18:09:39
Royal Comette,3444,boardgame,3.63889,0,9,0,1996,3,6,30,30,10,24,2024-01-23 18:09:39
Playing Shakespeare,3445,boardgame,4.66667,0,9,0,1990,4,24,60,60,12,56,2024-01-23 18:09:39
The Game of Maze,3447,boardgame,3.98529,5.47316,34,1,1990,2,4,20,20,10,77,2024-01-23 18:09:39
Hazard,3448,boardgame,3.67593,0,27,2,1375,2,6,30,30,8,66,2024-01-23 18:09:39
The Dickens Game,3450,boardgame,5.63939,5.49954,33,1.6667,1983,2,4,30,30,8,75,2024-01-23 18:09:39
Coffee!,3451,boardgame,4.68333,5.48717,30,1.3333,2002,1,4,20,20,0,49,2024-01-23 18:09:39
Emerald,3452,boardgame,6.33745,5.82791,1350,1.6643,2002,2,5,45,45,10,1670,2024-01-23 18:09:39
The Zodiac Game,3453,boardgame,1.75,0,4,0,1988,2,6,30,30,12,8,2024-01-23 18:09:39
Ludus Romanus,3454,boardgame,5.08571,0,21,2.3333,1996,2,2,20,20,0,103,2024-01-23 18:09:39
Runestone,3455,boardgame,5.375,0,16,1,1995,2,2,10,10,7,45,2024-01-23 18:09:39
The Hieroglyphs Game,3456,boardgame,3.835,0,20,3,1989,2,8,20,20,10,93,2024-01-23 18:09:39
Tabula,3457,boardgame,5.74316,5.51319,95,1.3846,1990,2,2,20,20,5,239,2024-01-23 18:09:39
The Celtic Game,3458,boardgame,4.9,0,10,0,1997,2,2,20,20,0,35,2024-01-23 18:09:39
Major Battles and Campaigns of General George S. Patton,3459,boardgame,6.47372,5.54085,91,1.8,1973,2,2,30,30,12,211,2024-01-23 18:09:39
Kaubojai,3460,boardgame,6.5,0,2,0,0,2,4,60,60,8,4,2024-01-23 18:09:39
OrkoMondo,3461,boardgame,5.70455,0,22,1.5,2002,2,4,30,30,8,41,2024-01-23 18:09:39
Savana,3462,boardgame,2,0,1,0,0,2,6,30,30,0,1,2024-01-23 18:09:39
Wizard,3463,boardgame,7.33775,5.77262,514,2.2683,1978,2,2,30,30,10,1105,2024-01-23 18:09:39
Melee,3464,boardgame,7.29115,5.83245,698,2.2679,1977,2,2,15,15,10,1349,2024-01-23 18:09:39
Black Hole,3465,boardgame,5.66762,5.50573,105,1.7,1978,2,2,30,30,10,378,2024-01-23 18:09:39
WarpWar,3466,boardgame,6.32887,5.59075,291,2.037,1977,2,2,30,30,12,822,2024-01-23 18:09:39
Star Quest,3467,boardgame,4.98333,5.49001,30,2.5,1979,2,6,30,60,12,138,2024-01-23 18:09:39
Panzer Pranks,3468,boardgame,6.04783,5.51027,46,2.3333,1980,2,2,20,30,12,153,2024-01-23 18:09:39
China Topf,3469,boardgame,6.47368,0,19,1,1996,2,4,20,20,4,40,2024-01-23 18:09:39
Le Mans,3471,boardgame,6.47034,5.53772,92,2.1818,1961,1,12,60,60,10,262,2024-01-23 18:09:39
Plagio,3472,boardgame,6.53907,5.53833,86,2,1999,4,0,20,20,12,165,2024-01-23 18:09:39
RisiKard!,3473,boardgame,5.45,5.49759,34,1.5,1996,3,6,20,20,0,63,2024-01-23 18:09:39
Sandsplatters,3474,boardgame,4.16667,0,3,0,1998,1,2,30,30,10,12,2024-01-23 18:09:39
Shadowfist,3475,boardgame,7.09702,5.762,431,2.6222,1995,2,7,60,60,10,652,2024-01-23 18:09:39
Shadowrun: DMZ Downtown Militarized Zone,3476,boardgame,5.3378,5.48305,123,2.5,1990,2,2,30,30,12,411,2024-01-23 18:09:39
Killer Instinct,3479,boardgame,4.15,0,10,0,1996,2,2,10,10,10,37,2024-01-23 18:09:39
Nemesis,3481,boardgame,6.4125,0,8,2,1998,2,2,30,30,8,24,2024-01-23 18:09:39
Past Lives,3482,boardgame,4.39641,5.43626,103,1.4444,1988,2,8,60,60,8,227,2024-01-23 18:09:39
Pinocchio,3483,boardgame,5.35185,5.48909,54,1,2000,2,6,10,10,6,179,2024-01-23 18:09:39
Armada,3484,boardgame,5.22757,5.44404,370,2.1667,1986,2,4,120,120,10,886,2024-01-23 18:09:39
Anno Domini,3485,boardgame,5.91975,5.5253,162,1.7273,1995,4,4,60,60,10,331,2024-01-23 18:09:39
Bataclan,3486,boardgame,4.87778,5.48601,45,1.1429,1997,2,6,20,20,6,113,2024-01-23 18:09:39
BattleTech TCG,3487,boardgame,6.52297,5.75639,804,2.4675,1996,2,2,20,20,10,1180,2024-01-23 18:09:39
C-23,3488,boardgame,4.85256,5.46948,78,1.5,1998,2,3,10,10,10,132,2024-01-23 18:09:39
Derby,3489,boardgame,2.33333,0,3,0,1997,2,2,10,10,0,10,2024-01-23 18:09:39
Dragon Ball: Alla ricerca delle Sette Sfere,3491,boardgame,5.66667,0,9,1,1998,3,5,20,20,0,17,2024-01-23 18:09:39
Dragon Storm,3492,boardgame,5.795,5.50245,40,2.4,1996,2,8,120,120,0,109,2024-01-23 18:09:39
Ferrari F1,3493,boardgame,4.65,0,10,1,1996,2,4,30,30,10,40,2024-01-23 18:09:39
Gran Gol,3494,boardgame,6.08594,5.50729,32,1.4,1998,2,2,20,20,8,50,2024-01-23 18:09:39
Harry Potter Trading Card Game,3495,boardgame,6.16904,5.70185,1114,1.962,2001,2,2,20,20,9,2122,2024-01-23 18:09:39
Il gioco del campionato,3496,boardgame,4.71429,0,7,0,1996,3,8,30,30,8,13,2024-01-23 18:09:39
Il gioco della Formula Uno,3498,boardgame,5.16667,0,6,1,1996,2,6,20,20,8,14,2024-01-23 18:09:39
3-D Chess,3499,boardgame,5.92713,5.51216,129,4.0714,1851,2,2,90,90,0,240,2024-01-23 18:09:39
Schmuggler an Bord,3500,boardgame,6.05476,5.5166,63,1.25,1992,3,6,30,30,8,124,2024-01-23 18:09:39
Fantasy,3501,boardgame,5.21429,5.49156,35,2,1990,3,6,60,60,0,81,2024-01-23 18:09:39
Star of the Guardians,3502,boardgame,4.54106,5.47739,49,2,1995,2,2,20,20,10,139,2024-01-23 18:09:39
Star Quest,3503,boardgame,4.22828,5.47697,39,1.6,1995,2,8,30,30,10,120,2024-01-23 18:09:39
Super Deck!,3504,boardgame,2.12519,5.37432,79,1.4,1994,2,2,20,20,12,101,2024-01-23 18:09:39
Super Pippo,3505,boardgame,7.75,0,2,0,1977,2,4,30,30,8,4,2024-01-23 18:09:39
D3 Time Warriors,3506,boardgame,7.02,0,5,2,1996,2,2,30,30,10,12,2024-01-23 18:09:39
By Golly!,3507,boardgame,5.9755,5.56078,307,1.0714,2001,2,6,15,15,5,761,2024-01-23 18:09:39
Hold Everything!,3508,boardgame,5.56087,0,23,1,1996,2,6,20,20,6,58,2024-01-23 18:09:39
Alfreds Other Game,3509,boardgame,5.51818,0,11,0,1985,1,4,60,60,8,54,2024-01-23 18:09:39
Battle of the Sexes,3510,boardgame,3.50314,4.77483,1160,1.0779,1997,2,8,45,45,12,2209,2024-01-23 18:09:39
The Christmas Game,3511,boardgame,4.22222,0,9,1.5,1983,2,4,45,45,5,27,2024-01-23 18:09:39
Doorways to Adventure,3512,boardgame,5.78,5.50483,50,1.3333,1986,2,6,60,60,10,161,2024-01-23 18:09:39
Electronic Stratego,3513,boardgame,6.33378,5.53728,111,1.75,1982,2,2,60,60,8,189,2024-01-23 18:09:39
Game of Knowledge,3514,boardgame,5.53467,5.49829,75,1.4,1984,2,10,60,60,10,295,2024-01-23 18:09:39
"Men Are from Mars, Women Are from Venus",3515,boardgame,3.93898,5.39953,137,1.3333,1998,4,0,60,60,18,416,2024-01-23 18:09:39
Option,3516,boardgame,5.69742,5.50429,97,2,1982,2,4,60,60,8,414,2024-01-23 18:09:39
Tornado Rex,3517,boardgame,6.82583,5.5644,156,1.1538,1991,2,4,30,30,6,219,2024-01-23 18:09:39
Napoleon in Europe,3518,boardgame,6.61509,5.71476,691,3.4615,2001,2,7,360,360,10,1228,2024-01-23 18:09:39
Millionary,3519,boardgame,5.88889,0,18,0,2001,3,6,120,120,14,41,2024-01-23 18:09:39
U.E.F.A.,3520,boardgame,2.2,0,5,0,1996,2,2,10,10,8,10,2024-01-23 18:09:39
Your America,3521,boardgame,4.79733,0,15,1,1970,2,4,60,60,10,56,2024-01-23 18:09:39
LCR,3522,boardgame,3.62018,4.46965,2242,1.0444,1983,3,12,20,20,5,4911,2024-01-23 18:09:39
Decision At Kasserine: Rommel's Last Chance,3523,boardgame,7.09571,5.57301,105,2.8889,1983,1,2,300,300,12,390,2024-01-23 18:09:39
Geeks: The Convention,3524,boardgame,4.67391,5.48399,46,1.5,2001,2,5,20,20,0,133,2024-01-23 18:09:39
Act One,3525,boardgame,5.34202,5.49398,99,1.25,1995,4,99,30,30,12,242,2024-01-23 18:09:39
Iliad: The Most Renowned War Legend,3527,boardgame,5.96795,5.51203,78,2.4545,1979,2,8,120,180,12,195,2024-01-23 18:09:39
Priceless,3528,boardgame,6.00182,5.51945,110,2.4,1996,2,4,45,45,13,223,2024-01-23 18:09:39
Vampire Hunter,3529,boardgame,5.24594,5.43276,475,1.2973,2002,2,4,30,30,9,1202,2024-01-23 18:09:39
Stars On Stripes Football Game,3530,boardgame,8.5,0,2,0,1941,2,4,60,60,0,5,2024-01-23 18:09:39
The Return of the Stainless Steel Rat,3531,boardgame,6.70504,5.57275,139,2.5333,1981,1,2,60,60,10,538,2024-01-23 18:09:39
Damocles Mission,3532,boardgame,6.30161,5.52493,93,2.7143,1983,1,1,60,120,10,359,2024-01-23 18:09:39
Arena of Death: Heroic Combat in the Fantasy World of DragonQuest,3533,boardgame,5.45287,5.49145,87,2.1111,1980,2,20,90,90,10,398,2024-01-23 18:09:39
Star Trader,3534,boardgame,7.24769,5.69107,303,3.6667,1982,2,6,180,180,12,740,2024-01-23 18:09:39
Nightmare House,3535,boardgame,6.02206,5.51408,68,3,1983,1,5,90,90,10,341,2024-01-23 18:09:39
1-2-3 OY!,3536,boardgame,4,0,2,0,1994,1,5,10,10,5,19,2024-01-23 18:09:39
A-B-C OY!,3537,boardgame,4,0,3,0,1994,1,5,10,10,4,12,2024-01-23 18:09:39
Gnome Tribes,3538,boardgame,4.11702,5.4715,47,1.4,2001,2,4,120,120,12,166,2024-01-23 18:09:39
Largo Winch,3539,boardgame,5,0,1,0,2002,2,6,90,90,8,5,2024-01-23 18:09:39
Tic Tac Chec,3540,boardgame,5.96471,5.51287,85,2,1995,2,2,10,10,0,227,2024-01-23 18:09:39
Noble Celts,3541,boardgame,5.64062,0,16,0,1993,2,2,30,30,0,123,2024-01-23 18:09:39
XIII: Le Complot,3542,boardgame,5.46875,0,16,3.5,2001,2,4,90,90,10,77,2024-01-23 18:09:39
Spider-Man,3543,boardgame,6.09576,5.5102,59,2.2222,2002,2,6,90,90,12,183,2024-01-23 18:09:39
Antagon,3544,boardgame,5.1875,0,8,1.5,2002,2,2,20,20,12,24,2024-01-23 18:09:39
The Mage's Triangle,3546,boardgame,5.2,0,10,0,2001,2,2,30,30,8,7,2024-01-23 18:09:39
Survival of the Witless,3547,boardgame,4.4407,5.45286,86,1.6667,1997,3,8,60,60,12,194,2024-01-23 18:09:39
Assault on Hoth: The Empire Strikes Back,3548,boardgame,6.97249,5.78938,530,2.194,1988,2,2,90,90,12,1031,2024-01-23 18:09:39
Superpower,3549,boardgame,4.32514,5.42579,138,2.0909,1986,2,6,90,90,12,316,2024-01-23 18:09:39
Stock Market Specialist,3550,boardgame,5.52273,0,22,3,1982,2,4,360,360,12,97,2024-01-23 18:09:39
Infinity,3552,boardgame,5.92308,5.50787,52,1.5,1974,2,4,60,60,10,155,2024-01-23 18:09:39
Close Action: The Age of Fighting Sail Vol. 1,3553,boardgame,7.81372,5.83187,384,3.519,1997,2,30,240,240,12,936,2024-01-23 18:09:39
Rich Uncle,3554,boardgame,5.78235,5.49625,85,1.25,1946,3,5,30,30,8,224,2024-01-23 18:09:39
Stick Around,3555,boardgame,5.65,0,20,2,1999,2,2,10,10,0,63,2024-01-23 18:09:39
Mime Smashing,3556,boardgame,4.5,0,4,0,2002,2,6,10,10,8,6,2024-01-23 18:09:39
Steppe,3557,boardgame,6.37143,5.51049,35,2.3333,1985,2,2,20,20,10,97,2024-01-23 18:09:39
Quizzard,3558,boardgame,5.77368,5.50792,76,1.5714,1987,3,6,30,30,8,243,2024-01-23 18:09:39
Ice War,3560,boardgame,6.03,5.52782,142,2.1538,1978,2,2,60,60,12,475,2024-01-23 18:09:39
Ram Speed: Naval Warfare in the Bronze Age,3561,boardgame,6.09495,5.53443,109,1.9375,1980,2,2,90,90,11,489,2024-01-23 18:09:39
Theophrastus,3562,boardgame,5.91786,5.57158,434,2.125,2001,2,5,15,30,10,736,2024-01-23 18:09:39
The Lord of the Rings: The Fellowship of the Ring,3563,boardgame,6.55575,5.64621,377,2.8462,2001,2,2,90,90,12,758,2024-01-23 18:09:39
Programmer's Nightmare,3564,boardgame,5.61556,5.50086,45,2.5,1998,2,6,20,20,12,113,2024-01-23 18:09:39
Mordheim: City of the Damned,3565,boardgame,7.33625,6.26853,1702,3.0942,1999,2,6,60,60,10,2092,2024-01-23 18:09:39
Thinking Man's Football,3566,boardgame,5.55692,5.49531,65,2.3,1966,2,2,90,90,0,406,2024-01-23 18:09:39
Roller Coaster Tycoon,3567,boardgame,6.05126,5.58767,476,1.5714,2002,2,4,45,45,8,1053,2024-01-23 18:09:39
Stage II,3568,boardgame,6.39,5.55373,135,1.9091,1985,2,2,90,90,0,294,2024-01-23 18:09:39
Robin Hood,3569,boardgame,5.67528,5.50651,89,1.4,1990,2,6,60,60,8,227,2024-01-23 18:09:39
Chicken Cha Cha Cha,3570,boardgame,6.57032,6.12389,3244,1.1195,1997,2,4,15,20,4,4791,2024-01-23 18:09:39
Spitfire: Tactical Aerial Combat in Europe 1939-42,3571,boardgame,5.78873,5.50201,71,2.7778,1973,2,2,60,60,12,214,2024-01-23 18:09:39
Invasion: America – Death Throes of the Superpower,3572,boardgame,6.62556,5.60237,225,3.1786,1976,2,5,240,240,12,644,2024-01-23 18:09:39
Napoleon at Waterloo,3573,boardgame,6.65722,5.71674,526,1.9048,1971,1,2,60,120,10,1220,2024-01-23 18:09:39
Tank! Armored Combat in the 20th Century,3574,boardgame,5.05192,5.46878,104,2.6429,1974,2,2,90,90,12,453,2024-01-23 18:09:39
The Plot to Assassinate Hitler,3575,boardgame,5.681,5.49906,221,2.8621,1976,2,2,300,300,12,816,2024-01-23 18:09:39
Operation Olympic: The Invasion of Japan 1 November 1945,3576,boardgame,6.26277,5.54344,141,2.4375,1974,1,2,120,120,12,572,2024-01-23 18:09:39
Terrible Swift Sword: Battle of Gettysburg Game,3577,boardgame,7.49028,5.80223,401,4.1628,1976,2,6,420,4200,12,1062,2024-01-23 18:09:39
BattleBots: Kickbot Arena,3578,boardgame,4.41406,5.46873,64,1.1667,2001,2,2,10,10,8,137,2024-01-23 18:09:39
Numero,3579,boardgame,6.27273,0,11,1,1994,1,4,20,20,0,33,2024-01-23 18:09:39
