game_id,value
93,Open Drafting
93,Selection Order Bid
93,Simultaneous Action Selection
93,Turn Order: Progressive
93,Turn Order: Stat-Based
94,Network and Route Building
94,Open Drafting
94,Stock Holding
95,Grid Movement
95,Race
95,Roll / Spin and Move
96,Action Queue
96,Dice Rolling
96,Grid Movement
96,Hand Management
96,Point to Point Movement
96,Square Grid
97,Area Movement
97,Dice Rolling
98,Area Movement
98,Dice Rolling
98,Minimap Resolution
98,Stat Check Resolution
98,Team-Based Game
99,Area Movement
99,Dice Rolling
99,Simulation
101,Auction/Bidding
102,Set Collection
103,Dice Rolling
103,Minimap Resolution
103,Player Elimination
103,Roll / Spin and Move
103,Secret Unit Deployment
103,Set Collection
104,Area Majority / Influence
104,Set Collection
104,Simulation
104,Tile Placement
105,Betting and Bluffing
105,Hand Management
105,Investment
106,Hand Management
106,Set Collection
106,Voting
107,Grid Movement
107,Hexagon Grid
107,Tile Placement
108,Action Timer
108,Enclosure
108,Grid Movement
109,Auction/Bidding
110,Auction/Bidding
110,Pick-up and Deliver
110,Roll / Spin and Move
111,Area Majority / Influence
111,Enclosure
111,Hand Management
112,Area Majority / Influence
112,Auction/Bidding
112,Constrained Bidding
112,Hand Management
113,Trick-taking
114,Auction/Bidding
114,Memory
114,Trading
115,Dice Rolling
115,Hand Management
115,Negotiation
115,Roll / Spin and Move
115,Set Collection
115,Take That
116,Hand Management
116,Open Drafting
116,Set Collection
116,Take That
117,Connections
117,Team-Based Game
117,Tile Placement
118,Auction: English
118,Auction: Once Around
118,Auction: Sealed Bid
118,Auction: Turn Order Until Pass
118,Auction/Bidding
118,Commodity Speculation
118,Hand Management
118,Victory Points as a Resource
119,Tile Placement
120,Rock-Paper-Scissors
120,Set Collection
120,Simultaneous Action Selection
121,Alliances
121,Area Majority / Influence
121,Area Movement
121,Auction/Bidding
121,Force Commitment
121,Hand Management
121,Map Deformation
121,Team-Based Game
121,Variable Player Powers
122,Negotiation
122,Point to Point Movement
122,Trading
122,Voting
123,Set Collection
123,Take That
124,Bias
124,Dice Rolling
124,Grid Movement
124,Variable Player Powers
125,Auction/Bidding
125,Set Collection
125,Simultaneous Action Selection
126,Betting and Bluffing
126,Roll / Spin and Move
127,Cooperative Game
127,Simultaneous Action Selection
127,Variable Player Powers
128,Bingo
128,Pattern Building
128,Tile Placement
130,Crayon Rail System
130,Hexagon Grid
130,Multiple Maps
130,Network and Route Building
130,Pick-up and Deliver
132,Area Majority / Influence
132,Hand Management
132,Set Collection
133,Modular Board
134,Tile Placement
135,Area Majority / Influence
135,Commodity Speculation
135,Map Addition
135,Square Grid
135,Take That
135,Tile Placement
135,Turn Order: Stat-Based
137,Dice Rolling
137,Hot Potato
139,Deduction
139,Hidden Roles
139,Voting
140,Commodity Speculation
140,Negotiation
140,Real-Time
140,Set Collection
140,Trading
141,Area Majority / Influence
141,Set Collection
141,Trading
142,Area Majority / Influence
142,Commodity Speculation
142,Simultaneous Action Selection
143,Take That
144,Dice Rolling
146,Commodity Speculation
147,Commodity Speculation
147,Dice Rolling
147,Random Production
147,Tile Placement
148,Rock-Paper-Scissors
148,Simultaneous Action Selection
150,Flicking
150,Modular Board
150,Race
152,Bids As Wagers
152,Team-Based Game
152,Trick-taking
153,Hand Management
154,Hand Management
154,Pick-up and Deliver
155,Open Drafting
155,Trick-taking
156,Network and Route Building
156,Point to Point Movement
157,Connections
157,Crayon Rail System
157,Hexagon Grid
157,Network and Route Building
157,Pick-up and Deliver
162,Area Movement
162,Dice Rolling
162,Movement Points
162,Simulation
162,Variable Player Powers
162,Variable Set-up
163,Paper-and-Pencil
163,Voting
164,Push Your Luck
165,Line Drawing
165,Pattern Recognition
165,Secret Unit Deployment
166,Action Points
166,Dice Rolling
166,Point to Point Movement
166,Simulation
166,Variable Player Powers
167,Commodity Speculation
168,Connections
168,Crayon Rail System
168,Hexagon Grid
168,Movement Points
168,Network and Route Building
168,Pick-up and Deliver
169,Hand Management
169,Tug of War
170,Hand Management
170,Player Elimination
170,Take That
171,Grid Movement
171,Once-Per-Game Abilities
171,Pattern Movement
171,Square Grid
171,Static Capture
171,Sudden Death Ending
172,Auction: Sealed Bid
172,Auction: Turn Order Until Pass
172,Auction/Bidding
172,Hand Management
172,Selection Order Bid
173,Different Dice Movement
173,Grid Movement
173,Player Elimination
173,Push Your Luck
173,Race
173,Roll / Spin and Move
173,Simulation
173,Team-Based Game
174,Hand Management
174,Set Collection
174,Trick-taking
175,Auction: Sealed Bid
175,Simultaneous Action Selection
176,Action Points
176,Auction/Bidding
176,Hand Management
178,Enclosure
178,Variable Player Powers
179,Grid Movement
179,Square Grid
180,Simultaneous Action Selection
180,Tile Placement
181,Area Movement
181,Dice Rolling
181,Player Elimination
181,Set Collection
182,Hand Management
182,Set Collection
182,Team-Based Game
183,Area Majority / Influence
185,Grid Movement
185,Race
185,Roll / Spin and Move
185,Take That
186,Pattern Building
186,Point to Point Movement
186,Team-Based Game
188,Enclosure
188,Square Grid
189,Dice Rolling
189,Hand Management
189,Memory
189,Trading
190,Auction/Bidding
192,Simultaneous Action Selection
192,Trading
193,Dice Rolling
193,Push Your Luck
194,Dice Rolling
194,Take That
195,Dice Rolling
196,Voting
197,Pick-up and Deliver
198,Set Collection
199,Area Majority / Influence
199,Hand Management
200,Area Majority / Influence
200,Modular Board
200,Tile Placement
201,Area Majority / Influence
201,Grid Movement
201,Hand Management
201,Move Through Deck
201,Pattern Building
201,Square Grid
201,Static Capture
201,Sudden Death Ending
201,Tile Placement
202,Modular Board
202,Player Elimination
203,Roll / Spin and Move
203,Take That
204,Area Majority / Influence
204,Auction: Once Around
204,Chaining
204,End Game Bonuses
204,Grid Movement
204,Hexagon Grid
204,Investment
204,Network and Route Building
204,Set Collection
204,Stock Holding
204,Tile Placement
206,Trick-taking
214,Hand Management
214,Pattern Building
214,Tile Placement
215,Hand Management
215,Ladder Climbing
215,Predictive Bid
215,Team-Based Game
216,Area Majority / Influence
216,Tile Placement
216,Variable Player Powers
217,Action Points
217,Dice Rolling
217,Set Collection
218,Auction/Bidding
218,Set Collection
219,Hand Management
219,Tile Placement
220,Auction: Turn Order Until Pass
220,Auction/Bidding
220,Constrained Bidding
220,Hand Management
221,Area Majority / Influence
221,Area Movement
221,Auction: Multiple Lot
221,Auction/Bidding
