game_id,value
27,Supremacy: High-Tech Edge for Strategic Forces
27,Supremacy: Main Battle Tanks
27,Supremacy: Mega Map
27,Supremacy: Mega Supremacy – Challenge of the New World Order
27,Supremacy: Neutron Bombs and Killer Satellites
27,Supremacy: Resource Deck Two
27,Supremacy: The Middle Powers
27,Supremacy: The Unconventional Forces
27,Supremacy: Warlords and Pirates of the Neutral Zones
28,Illuminati: Bavarian Fire Drill
28,Illuminati: Brainwash
28,Illuminati: Mutual Assured Distraction
28,Illuminati: Unconstitutional! Promo Card
28,Illuminati: Y2K
31,Dark World: Dragon's Gate
31,Dark World: Village of Fear
34,Tokyo Horror
36,Captain's Log #10
36,Captain's Log #11
36,Captain's Log #12
36,Captain's Log #13
36,Captain's Log #15
36,Captain's Log #16
36,Captain's Log #29
36,Captain's Log #7
36,Captain's Log #8
36,Captain's Log #9
36,Federation & Empire: Advanced Operations
36,Federation & Empire: Carrier War
36,Federation & Empire: Combined Operations
36,Federation & Empire: Combined Operations – Rulebook 2021 Edition
36,Federation & Empire: F & E Module 1 – Special Operations
36,Federation & Empire: F & E Module 2 – Marine Assault
36,Federation & Empire: Fighter Operations
36,Federation & Empire: ISC War
36,Federation & Empire: Minor Empires
36,Federation & Empire: Planetary Operations
36,Federation & Empire: Reinforcements
36,Federation & Empire: Strategic Operations
36,Federation & Empire: Tactical Operations
36,Federation and Empire: The Hurricane
36,Star Fleet Battles: Captain's Log #31
36,Star Fleet Battles: Captain's Log #32
36,Star Fleet Battles: Captain's Log #33
36,Star Fleet Battles: Captain's Module P1
36,Star Fleet Battles: Captain's Module P3 – Scenarios – 1
37,Dragon Masters Expansion
40,Borderlands Expansion Set #1
40,Borderlands Expansion Set #2
41,Can't Stop: Rollin' Down the Highway
42,Euphrat & Tigris: Die Zikkurat
45,Cups 'N' Dice
49,Mamma Mia: Double Ingredients
49,Mamma Mia: Joker-Zutat
49,Stadt Land Spielt Limitierte Sonderdrucke 2015
50,Lost Cities: Expedition 6 – The Lost Expedition
50,Lost Cities: Milestones
54,Jungle Zombie (fan expansion for Tikal)
62,Curse of the Mummy's Tomb: In Search of Eternity
71,Advanced Civilization
71,Civilization Eastern Expansion Map
71,Civilization: Expansion Trade Cards Set
71,Civilization: The Expansion Project
71,Civilization: West Extension Map
72,Verräter: Söldnervariante
74,Apples to Apples: Expansion Set #1
74,Apples to Apples: Expansion Set #2
74,Apples to Apples: Expansion Set #3
74,Apples to Apples: Expansion Set #4
74,Apples to Apples: Party Box Expansion ONE
74,Apples to Apples: Party Box Expansion TWO
74,Scary Apples to Apples Snack Pack
77,"EuroFront: War in Europe, 1939-45"
77,VolgaFront: East of EastFront 1942-43
78,"EuroFront: War in Europe, 1939-45"
79,"EuroFront: War in Europe, 1939-45"
87,Victory: The Blocks of War – Additional Blocksets
87,Victory: The Blocks of War – Elite Blocksets
87,Victory: The Blocks of War – Extra Maps
87,Victory: The Blocks of War – Logistics Set
91,CDG Solo System
91,Paths of Glory Player's Guide
93,The El Grande Expansions
93,El Grande: Grandissimo
93,El Grande: Grossinquisitor und Kolonien
93,El Grande: König & Intrigant
93,El Grande: König & Intrigant – Player's Edition
93,El Grande: König & Intrigant – Unverkäufliche Sonderkarten
98,Axis & Allies Enhanced Realism Rules
98,Axis & Allies:  A & A Accessories
98,Axis & Allies: China and France expansion counter sheet
98,Axis & Allies: The Arab Israeli Wars
98,"Central Powers, Axis & Allies Variant"
98,Conquest of the Pacific
98,Dateline: World War II
98,East & West: Global War in 1948
98,Enemy on the Horizon: Axis & Allies Expansion
98,Honor and Infamy: Commanders (Axis and Allies Variant)
98,Max's Advanced Rules for Axis & Allies
98,Middle East Combat
98,"New World Order, Axis & Allies Variant"
98,Risk 2042 (fan expansion for Risk / Axis & Allies)
98,Totally Untested Volume 2 of Max's Advanced Rules for Axis & Allies
98,The War to End All Wars: WWI Axis & Allies Variant
98,World War II Expansion 2
98,World War II Expansion 3: The Battle of Midway
98,World War II The Expansion
99,5th Column (fan expansion for Fortress America)
99,Fortress America: Expansion Pack #1
99,Fortress Illinois
103,Titan: Battlelands of Titan
108,GIPF: Das TAMSK-Potential
119,Kingdoms: The Wizard
121,Dune: Spice Harvest
121,Dune: The Duel
121,Dune: The Ixian Jihad
121,Dune: The Landsraad Maneuver
121,Dune: Variant Cards
124,Primordial Soup: Freshly Spiced
130,Iron Dragon Extensions
135,Kontor: 3 & 4 player expansion
135,Kontor: Das Exportlager
135,Kontor: Die Aktionstafeln
135,Kontor: Die Ereigniskarten
140,Pit: Tulip expansion
150,PitchCar: Extension 1
150,PitchCar: Extension 2 – More Speed More Fun
150,PitchCar: Extension 3 – Long Straights
150,PitchCar: Extension 4 – Stunt Race
150,PitchCar: Extension 5 – The Cross
150,PitchCar: Extension 6 – No Limit
150,PitchCar: Extension 7 – The Loop
150,PitchCar: Extension 8 – The Upsilon
150,PitchCar: Extension 9 – The Adapter
150,PitchCar: Extra Cars
150,PitchCar: Foam Rail
157,Transatlantic Rails
162,The Awful Green Things From Outer Space: The Obnoxious Orange Things From Another Place
162,Outside the Znutar
165,Black Box Game Book
168,Mexican Rails
168,South American Rails
168,Super Sadistic Advanced Empire Builder
168,Transatlantic Rails
170,Family Business: Blood Brothers and The Moll Expansions
170,Family Business: Kingpins of Crime promo expansion
170,Mayfair Games Limited Edition Promo Expansion Set #3
171,Beguile: PaWN The Enemy
171,Castle-Mate
171,Chess Mage
171,Chess Mixer
171,CHUCK-A-CHESS
171,Code Geass: Knightmare Chess
171,Devil's Chess
171,Epic Chess
171,Fairy Tale Chess
171,Fantasy Crusaders Chess
171,Heretik Chess
171,Kingdom of Elbrandt
171,Knightmare Chess
171,Knightmare Chess (Third Edition)
171,Knightmare Chess 2
171,Musketeer Chess
171,Rogue Chess
171,Royal Chess
171,Spell Chess: an Expansion to Chess
171,Super Chess
171,x-Chess: the First Mutant
171,Военно-морская игра
172,For Sale: Advisors
172,For Sale: Hebrew Promo Cards
173,Circuit de la Sarthe LeMans (fan expansion for Formula D(é))
173,Formula Dé Circuit 33: 10th Anniversary
173,Formula Dé Circuits 1 & 2: Monaco & Zandvoort 1
173,Formula Dé Circuits 11 & 12: Watkins Glen & Silverstone
173,Formula Dé Circuits 13 & 14: Montreal & Long Beach
173,Formula Dé Circuits 15 & 16: Hockenheim & Zeltweg
173,Formula Dé Circuits 17 & 18: Buenos-Aires & Barcelona
173,Formula Dé Circuits 19 & 20: Suzuka & Melbourne
173,Formula Dé Circuits 21 & 22: Budapest & Nürburgring
173,Formula Dé Circuits 23 - 26: USA Track Pack #1
173,Formula Dé Circuits 27 - 30: USA Track Pack #2
173,Formula Dé Circuits 3 & 4: Zandvoort 2 & SPA-Francorchamps
173,Formula Dé Circuits 31 & 32: Zhuhai & Sepang
173,Formula Dé Circuits 34 & 35: Bahrain & Shanghai
173,Formula Dé Circuits 5 & 6: Kyalami & Ferrari Autodromo
173,Formula Dé Circuits 7 & 8: Magny-Cours & Monza
173,Formula Dé Circuits 9 & 10: Estoril & Interlagos
173,Formula De: Gran Premio d'Italia – Perugia – Circuito Cittadino
173,Formula Dé: ITALY SERIES – Agrigento Valle dei Templi
173,Formula Dé: ITALY SERIES – Bologna Centro
173,Formula Dé: ITALY SERIES – Bologna Stadio Dall'Ara
173,Formula Dé: ITALY SERIES – Commemorative Track
173,Formula Dé: ITALY SERIES – Firenze Lungo Arno
173,Formula Dé: ITALY SERIES – Milano Castello Sforzesco
173,"Formula Dé: ITALY SERIES – Misano, Santa Monica"
173,Formula Dé: ITALY SERIES – Palermo Marina
173,Formula Dé: ITALY SERIES – Roma Colosseo
173,Formula Dé: ITALY SERIES – Roma Isola Tiberina
173,Formula Dé: ITALY SERIES – Torino Centro
173,Formula Dé: ITALY SERIES – Trieste Porto
173,Formula Dé: Laguna Seca
173,Formula Dé: Lime Rock Park
173,Formule Dé Circuit 	№ 10: GRANDE PREMIO DE BRASIL – Circuito do Interlagos
173,Formule Dé Circuit 	№ 9: GRAND PRIX DU CANADA – Circuit Gilles Villeneuve
173,Formule Dé Circuit № 1: Grand Prix de MONACO
173,Formule Dé Circuit № 11: JAPAN GRAND PRIX – Suzuka Circuit
173,Formule Dé Circuit № 12: SOUTH of AFRICA GRAND PRIX – Kyalami Circuit
173,Formule Dé Circuit № 13: SAN MARINO – Autodromo Enzo & Dino Ferrari
173,Formule Dé Circuit № 2: FRANCE – Circuit de Nevers Magny-Cours
173,Formule Dé Circuit № 3: GRAN PREMO D'ITALIA – Autodromo Nazionale Monza
173,Formule Dé Circuit № 4: GROSSER PREIS VON DEUTSCHLAND – Hockenheim Ring
173,Formule Dé Circuit № 5: GRAND PRIX DE BELGIQUE – Circuit de Spa – Francorchamps
173,Formule Dé Circuit № 6: GRANDE PREMIO DE PORTUGAL – Circuito do Estoril
173,Formule Dé Circuit № 7: BRITISH GRAND PRIX – Silverstone Circuit
173,Formule Dé Circuit № 8: GRAN PREMIO DE ESPAÑA – Circuit de Catalunya
173,Formule Dé: World Championship
173,UCF (fan expansion for Formula D)
181,Chaos Risk
181,Concurrent
181,La Conquête du Monde revised
181,Euro Risk
181,Hyborian Risk
181,Medieval Risk
181,One World Dominion
181,Risk 2042 (fan expansion for Risk / Axis & Allies)
188,Joker Go
188,Poker-Go
193,Stadt Land Spielt Limitierte Sonderdrucke 2015
193,Tutto: Sechsling-Karte
194,Groo: The Game – Expansion Set
196,Kremlin: Destalinization Expansion
196,Kremlin: Revolution
199,Manhattan: Festival en Manhattan
199,Manhattan: Promo Cards Mini-Expansion
204,Stephenson's Rocket: Eastern USA & China
215,Stadt Land Spielt Limitierte Sonderdrucke 2015
215,Tichu Booster
217,A la carte: Dessert
217,A la carte: Die Beilage
228,Lunch Money: Sticks and Stones
230,Merchant of Venus: The Variant Mini Expansion
234,Hamilcar: First Punic War
242,Junta Expansion Cards
242,Super Power
243,ASL Comp Afrikakorps: Combined Arms
243,1.SS-Panzerdivison Leibstandarte  Normandie
243,"7.SS-Gebirgs Division ""Prinz Eugen"""
243,Achtung! Panzer!
243,Action at Carentan!
243,Advanced Squad Leader Overlay Bundle
243,Advanced Squad Leader: Deluxe Pack 1
243,Airborne Stand!: The Battle for the Marcus Heim Causeway
243,"All American: The 82nd Airborne at Kellam's Bridge – June 6-9, 1944"
243,"All American: The 82nd Airborne at Shanley's Hill – June 6-9, 1944"
243,"All American: The 82nd Airborne at Timmes' Orchard – June 6-9, 1944"
243,All Time Favorites
243,Anzio 1944: On patrol with the First Special Service Force
243,Armies of Oblivion: ASL Module 12
243,Armored Stand
243,Arnhem: The Third Bridge
243,ASL Action Pack #1
243,ASL Action Pack #10
243,ASL Action Pack #11: 29 Let's Go!
243,ASL Action Pack #12: ASL Oktoberfest XXX
243,ASL Action Pack #13: ASL Oktoberfest XXXII
243,ASL Action Pack #14: ASL Oktoberfest XXXIV
243,ASL Action Pack #15: Swedish Volunteers
243,ASL Action Pack #16: From the Land Down Under
243,ASL Action Pack #17: Oktoberfest XXXV
243,ASL Action Pack #18
243,ASL Action Pack #2
243,ASL Action Pack #3: Few Returned
243,ASL Action Pack #4: Normandy 1944
243,ASL Action Pack #5: East Front
243,ASL Action Pack #6: A Decade of War
243,ASL Action Pack #7
243,ASL Action Pack #8: Roads Through Rome
243,ASL Action Pack #9: To the Bridge!
243,ASL Annual '89
243,ASL Annual '90
243,ASL Annual '91
243,ASL Annual '92
243,ASL Annual '93a
243,ASL Annual '93b
243,ASL Annual '95
243,ASL Annual '96
243,ASL Annual '97
243,ASL British AFV Vehicle Cards
243,ASL Classic
243,ASL Comp Afrikakorps: Bitter Enders
243,ASL Comp Afrikakorps: Hellfire Pass and Beyond
243,ASL Comp Afrikakorps: Operation Torch
243,ASL Comp Afrikakorps: Second Time Around
243,ASL Comp: Afrikakorps – Along the Via Balbia
243,ASL Comp: Afrikakorps – Battle of Gazala
243,ASL Comp: Afrikakorps – Benghazi Handicap
243,ASL Comp: Afrikakorps – El Alamein
243,ASL Comp: Afrikakorps – El Guettar Stakes
243,ASL Comp: Afrikakorps – Frontier War
243,ASL Comp: Afrikakorps – Reluctant Offensive
243,ASL Comp: Bandenkrieg – Hell Behind the Eastern Front
243,ASL Comp: Battle of the Bulge I
243,ASL Comp: BdF II – The Battle for Parker's Crossroad
243,ASL Comp: Behind Utah Beach – The Battle for Hill 30 and Chef du Pont
243,ASL Comp: Bir el Gubi – Italian Redemption in the Desert
243,ASL Comp: BoB Normandy
243,ASL Comp: Breakout from Borisov 1
243,ASL Comp: Breakout from Borisov 2
243,ASL Comp: Cambrai 1 – Armoured Fist 1917
